AAIIIIIIIIIIIII,"See Notepad"
BLACKFORESTCAKE,"Cherried dessert"
BLACKFORESTCAKE,"Dessert from Germany"
BLACKFORESTCAKE,"Dessert with cherries"
BLACKFORESTCAKE,"German dessert, American-style"
BLACKHELICOPTER,"""In fact... they're monitoring my neighborhood from the sky!"""
BLACKJACKDEALER,"Person who works in a pit"
BLACKJACKOPTION,"STAND"
BLACKJACKRABBIT,"Bugs in Vegas?"
BLACKJACKTABLES,"21 areas"
BLACKJACKTABLES,"Atlantic City spots"
BLACKJACKTABLES,"Vegas sights"
BLACKMAGICWOMAN,"1970 Santana hit"
BLACKMAGICWOMAN,"1971 Santana hit"
BLACKMAGICWOMAN,"Santana smash"
BLACKMAGICWOMAN,"Top 10 single on the 1970 album ""Abraxas"""
BLACKMARKETEARS,"Organs purchased on the sly?"
BLACKMARKETEERS,"Back-alley merchandisers"
BLACKMARKETEERS,"They sell stuff on the sly"
BLACKSEACOUNTRY,"TURKEY"
BLACKSOXSCANDAL,"Blemish on the 1919 World Series"
BLACKSOXSCANDAL,"Eight Men Out subject"
BLACKSOXSCANDAL,"Subject of ""Eight Men Out"""
BLACKSOYSCANDAL,"Controversy about the coloration of a cooking sauce?"
BLACKSTARRISING,"Pohl book about Arsenio Hall?"
BLACKWATERTOOTH,"The last three marks"
BLADEFORERUNNER,"Sharp rock used by early hominids?"
BLAMEITONMEXICO,"Country music by George Strait?"
BLANDALLISONACT,"'My dull day began in my History of Free Silver class, where we were discussing 1878's ___'"
BLANDAMARAHALAS,"FAMERS GEORGE / WELLINGTON / GEORGE"
BLANDERTIPSHEET,"Less-exciting bookie offering"
BLANKAMMUNITION,"What's a round of nothing?"
BLANKCARTRIDGES,"Attention-getting noisemakers"
BLANKCARTRIDGES,"Contents of guns used in training exercises"
BLANKETAPPROVAL,"Broad green light, perhaps"
BLANKETAPPROVAL,"Carte blanche"
BLANKETAPPROVAL,"Comprehensive go-ahead"
BLANKETCOVERAGE,"Insurance against everything"
BLANKETCOVERAGE,"What a full insurance policy offers"
BLANKETPOLICIES,"Comprehensive insurance plans"
BLANKEXPRESSION,"Poker face"
BLANKEXPRESSION,"Stunned facial look"
BLASTACTIONHERO,"Movie about a demolition expert?"
BLAZEDNEWTRAILS,"Was extremely innovative"
BLAZEINBROOKLYN,"Three-L lllama?"
BLAZINGFASTBALL,"Pitch for ""Strike three!"""
BLEACHEDBLONDES,"They're light-headed?"
BLEAKHOUSEDRESS,"Over-laundered muumuu?"
BLEAKHOUSEPARTY,"Wake?"
BLEATGENERATION,"Contemporary crop of sheep?"
BLEEDINGHESINGS,"End of quip"
BLEEPINGLIZARDS,"""$#%^*& geckos!""?"
BLENDERSETTINGS,"Theme of this puzzle"
BLENDMEYOUREARS,"Request for attention in the kitchen?"
BLESSEDRTHEMEEK,"Beatitudes phrase, in brief"
BLESSINGATAMEAL,"Grace"
BLEUSINTHENIGHT,"Wee-hours dressings?"
BLEWONESOWNHORN,"Performed in a concert?"
BLIMPONTHERADAR,"What an air traffic controller sees over a stadium?"
BLINDBLINDSTUDY,"Optimal design for clinical trials"
BLINDFLAKEDRIFT,"(Three snow jobs) snow..."
BLINDMICEABEARS,"Pair of threes"
BLINDSIDEOFBEEF,"Meat that everyone thinks is rotten but then it turns out to be some of the best barbecue ever?"
BLINGFORDOLLARS,"Hip-hop pawn shop transactions?"
BLISTERINTHESUN,"1982 single by Violent Femmes best enjoyed alone?"
BLOBYBLOACCOUNT,"Detailed description"
BLOCKADERUNNING,"Shipping charges?"
BLOCKBUSTERBOOK,"""The Purpose Driven Life,"" for one"
BLOCKRUNNERKILL,"Three on the road?"
BLOISBLOISBLOIS,"""Yadda yadda yadda""?"
BLONDEBOMBSHELL,"Jean Harlow, e.g."
BLONDEBOMBSHELL,"Monroe, for one"
BLONDIEBUMSTEAD,"Chic Young comic strip wife, nee Boopadoop"
BLONDIEBUMSTEAD,"Dagwood's better half"
BLONDIESANDWICH,"Comical menu mix-up?"
BLOODANDTHUNDER,"Angry melodrama"
BLOODANDTHUNDER,"Exaggerated melodrama"
BLOODANDTHUNDER,"Sensationalism"
BLOODFROMASTONE,"Transfusion given by Keith Richards?"
BLOODGUNPARTING,"Three shots"
BLOODLYMPHEMPTY,"Three vessels that don't go to sea"
BLOODRELAXATION,"Quiet time for a Los Angeles gang member?"
BLOTFROMTHEBLUE,"Stain caused by anil dye?"
BLOWGABRIELBLOW,"Song from ""Anything Goes"""
BLOWINGINTHEWIN,"Coasting to a sailboat race victory?"
BLOWINGOFFSTEAM,"Ranting"
BLOWINGOFFSTEAM,"Release of tension"
BLOWINGOFFSTEAM,"Releasing pent-up emotion"
BLOWINGOFFSTEAM,"Releasing pent-up emotions"
BLOWINGOFFSTEAM,"Releasing stress, in a way"
BLOWINGOFFSTEAM,"Relieving stress by screaming"
BLOWINGOFFSTEAM,"Venting"
BLOWINGONESCOOL,"Loss of equanimity"
BLOWININDIAWIND,"Dylan's Asian anthem?"
BLOWININTHEWIND,"1960s weather song by Peter, Paul and Mary"
BLOWININTHEWIND,"1963 Peter, Paul and Mary hit"
BLOWININTHEWIND,"Bob Dylan classic"
BLOWININTHEWIND,"Bob Dylan composition"
BLOWININTHEWIND,"Bob Dylan hit"
BLOWININTHEWIND,"Bob Dylan song... or a hint to the object found by connecting the four circled letters in a diamond"
BLOWININTHEWIND,"Elements braved by Peter, Paul and Mary?"
BLOWININTHEWIND,"Folk standard"
BLOWININTHEWIND,"Peter, Paul & Mary hit of 1963"
BLOWININTHEWIND,"Peter, Paul & Mary song featuring three-part harmony"
BLOWININTHEWIND,"Peter, Paul and Mary tune written by Dylan"
BLOWININTHEWIND,"Song from ""Twister: The Musical""?"
BLOWININTHEWIND,"Stevie Wonder biggie"
BLOWNOISEMAKERS,"12:00:10, 1/1"
BLOWOUTTIRESALE,"Odd sign at a Michelin dealership?"
BLOWSHOTANDCOLD,"Is unceratin, like a trumpeter?"
BLOWSHOTANDCOLD,"Vacillates"
BLOWSHOTANDCOLD,"WAVERS"
BLOWSHOTANDCOLD,"Wavers"
BLOWSTHEWHISTLE,"Exposes corruption"
BLOWSTHEWHISTLE,"Goes on ""60 Minutes,"" perhaps"
BLOWSTHEWHISTLE,"Tells"
BLOWTHELIDOFFOF,"Expose wrongdoing"
BLOWYOUROWNHORN,"Advice from Wynton Marsalis?"
BLOWYOUROWNHORN,"Trumpet your accomplish-ments"
BLUEBERRYMUFFIN,"Breakfast quick bread"
BLUEBERRYMUFFIN,"Colorful breakfast food"
BLUEBERRYMUFFIN,"Danish alternative"
BLUEBERRYNOGGIN,"1957 Fats Domino song?"
BLUEBERRYYOGURT,"Dairy-case buy"
BLUEBLOODCHORUS,"Aristocratic singers? (three lines)"
BLUECHIMPSTOCKS,"Apery on Wall Street?"
BLUEDANUBEWALTZ,"1860s dance tune"
BLUEDANUBEWALTZ,"1867 classic dance melody by Johann Strauss II"
BLUEDANUBEWALTZ,"Classic 1867 dance melody"
BLUEDANUBEWALTZ,"Classic dance tune"
BLUEDANUBEWALTZ,"Strauss classic"
BLUEDOGDEMOCRAT,"Texas congressman Charlie Stenholm, notably"
BLUEFOOTEDBOOBY,"Seabird native to the Galápagos Islands"
BLUEGRASSREGION,"Kentucky horse country"
BLUEGRASSREGION,"Thoroughbred-breeding country"
BLUEJAYSMARLINS,"TORONTO & FLORIDA TEAMS"
BLUEMOONSHINERS,"Depressed bootleggers?"
BLUERIBBONPANEL,"Group of renowned experts"
BLUERIBBONPANEL,"Legal decision makers"
BLUERIBBONPANEL,"Select group"
BLUEROSEOFCAIRO,"1985 Mia Farrow comedy-fantasy, with 'The'"
BLUESINTHENIGHT,"1941 Elia Kazan musical melodrama"
BLUESINTHENIGHT,"1941 Priscilla Lane film whose title was a #1 song"
BLUESINTHENIGHT,"Harold Arlen classic"
BLUESINTHENIGHT,"Johnny Mercer lyric"
BLUESINTHENIGHT,"Mercer/Arlen song of 1941"
BLUESOFTHEBIRTH,"Labor pains?"
BLUESUEDESHREWS,"Vermin gets in an Elvis song?"
BLUNDERBUSSAMMO,"Shot"
BLUNDERGARMENTS,"Clothing for the mistake-prone?"
BLUNTINSTRUMENT,"Club"
BLUNTINSTRUMENT,"The lead pipe, the wrench or the candlestick, but not the rope"
BLURREDWORDSARE,"Start of a pun"
BOACONSTRICTORS,"Dangerous reptiles"
BOACONSTRICTORS,"Deadly squeezers"
BOACONSTRUCTORS,"Scarf makers?"
BOARDANDLODGING,"What country inns provide"
BOARDEROFTHEDAY,"Prize for an inn's best guest?"
BOARDGAMESCORES,"Chess or checkers tournament results"
BOARDGOTITWRONG,"Question, part 3"
BOARDINGALLOWED,"End of riddle's answer"
BOARDINGRAMPAGE,"Riot by passengers trying to catch the last flight?"
BOARDINGRAMPANT,"One reason for crowded depots?"
BOARDINGSCHOOLS,"Andover, Exeter and others"
BOARDINGSCHOOLS,"Phillips and others"
BOARDINGSCHOOLS,"Sites of classes for airline employees?"
BOARDINSTRUMENT,"Piano off key?"
BOARDOFTRUSTEES,"Corporate oversight group"
BOARDOFTRUSTEES,"Foundation's supervisory group"
BOARDOFTRUSTEES,"Runners"
BOARDOFTRUSTEES,"Surface that regents play on?"
BOARDOFTRUSTEES,"University governing body"
BOASTDEFINITELY,"Crow without doubt?"
BOATSHOWMESTATE,"Battleship Missouri?"
BOBBEDANDWEAVED,"The evasive candidate ___"
BOBBINFORAPPLES,"Spool decoratin' Granny Smiths?"
BOBBLEHEADDOLLS,"Collectibles with shaking noggins"
BOBBYORRRETIRES,"Erstwhile hockey headline?"
BOBBYRICHARDSON,"Yankees' Evers 1955-1966"
BOBCATGOLDTHWAI,"Weird-voiced comedian (short one letter)"
BOBCHARLESCOODY,"Senior PGA golfers join together"
BOBLIOGRAPHICAL,"Like Dole's life story?"
BOBMILEHIGHCITY,"""Gilligan's Island"" star"
BOBTAILSTRAIGHT,"4-5-6-7, in draw poker, e.g.*"
BOBTAILSTRAIGHT,"In draw poker, nonstandard hand sometimes given value in a home game, four cards in sequence, that ranks higher than one pair and lower than a four-card flush*"
BODYOFKNOWLEDGE,"Lore"
BODYTEMPERATURE,"In this, a ""."" is a ""point"""
BOEINGSSHOWINGS,"Plane-maker's exhibitions?"
BOGARTANDBACALL,"""Key Largo"" costars"
BOGARTANDBACALL,"Classic film duo"
BOGARTANDBACALL,"Couple in old pictures"
BOGOTALENINGRAD,"Geographical combo #3"
BOILSDOWNTOVERY,"Part 4 of quip"
BOINGSPLASHGLUB,"""Let's see your swan dive..."""
BOLDESTDIRECTOR,"Award for moviemaking moxie?"
BOLIVIANCANASTA,"4-deck card game"
BOLOGNASANDWICH,"Actor Joseph's snack?"
BOLOGNASANDWICH,"Easy lunch to prepare"
BOLOGNASANDWICH,"Lunch box item"
BOLTFROMTHEBLUE,"Completely unexpected happening"
BOLTFROMTHEBLUE,"Epiphany, e.g."
BOLTFROMTHEBLUE,"Flee fuzz?"
BOLTFROMTHEBLUE,"Shock"
BOLTFROMTHEBLUE,"Something sudden and unexpected"
BOLTFROMTHEBLUE,"Startling surprise"
BOLTFROMTHEBLUE,"Sudden surprise"
BOLTFROMTHEBLUE,"Surprise"
BOLTFROMTHEBLUE,"Totally unforseen event"
BOLTFROMTHEBLUE,"Unexpected event"
BOLTFROMTHELUBE,"Loose part left after an oil change?"
BOLTOFLIGHTNING,"Electrical display"
BOLTOFLIGHTNING,"Electricity in a storm"
BOLTOFLIGHTNING,"Electricity in the sky"
BOLTOFLIGHTNING,"Flash"
BOLTOFLIGHTNING,"Storm phenomenon"
BOLTOFLIGHTNING,"Streak in a stormy sky"
BOLTOFLIGHTNING,"Thunder preceder"
BOLTOFLIGHTNING,"Zeus' weapon"
BOLTSFORTHEDOOR,"Attempts a quick escape"
BOLTSFORTHEDOOR,"Tries to make a quick escape"
BOLTSONESDINNER,"Barely has time to eat"
BOMBARDADRABMOB,"Assail rioters dressed in gray, palindromically"
BOMBSNIFFINGDOG,"Airport security canine"
BONDARDCHANNING,"""Grease"" actress"
BONDEDWAREHOUSE,"Temporary storage facility"
BONDINVESTMENTS,"Secret agent disguised as a clergyman?"
BONHOMMERICHARD,"John Paul Jones' flagship"
BONHOMMERICHARD,"John Paul Jones' ship"
BONHOMMERICHARD,"John Paul Jones's vessel"
BONNEVILLEFLATS,"Bad Pontiac tires?"
BONNEVILLEFLATS,"Part of the Great Salt Lake Desert used for speed tests"
BONNEVILLEFLATS,"Site of auto speed tests in the Great Salt Lake Desert"
BONNNEWSSERVICE,"German information provider?"
BONOPERFORMANCE,"U2 concert?"
BOOGIEWOOGIEFLU,"What Johnny Rivers also has in a 1972 hit"
BOOKBALLCOUNTRY,"Three clubs"
BOOKCLUBEDITION,"Version purchased by Oprah fans, often"
BOOKCOUNCILYARD,"CHURCH"
BOOKIEOFTHEYEAR,"Prestigious gambling award?"
BOOKSDIRTBRAKES,"Three things to hit"
BOOKSOFTHEBIBLE,"Dictionary table"
BOOKSOFTHEBIBLE,"They're hidden in this puzzle's eight longest answers"
BOOKSONTAPERING,"Obelisk builder's reading?"
BOOMBOOMMANCINI,"Lightweight boxing champ of the '80s"
BOOMERANGEFFECT,"Unintended upshot"
BOONIESORSTICKS,"Back country"
BOOSTONESMORALE,"Give a pep talk"
BOOSTONESMORALE,"What a good pep talk will do"
BOOTEDAGROUNDER,"Made a bonehead baseball error"
BOOTHTARKINGTON,"""Alice Adams"" novelist"
BOOTHTARKINGTON,"""Penrod"" author"
BOOTHTARKINGTON,"""The Magnificent Ambersons"" author"
BOOTHTARKINGTON,"Author of ""Penrod"""
BOOTOFFGIULIANI,"John McCain's dirty debate tactic #1"
BOOTSANDSADDLES,"Classic TV western of 1957"
BOOTSANDSADDLES,"TV western of 1957"
BOOTSBOOTSBOOTS,"Echoes from Kipling"
BOOTYISSKINDEEP,"Why the homie dated an ugly chick?"
BOPTHENIGHTAWAY,"1979 Van Halen hit?"
BORDEAUXCRIMSON,"TWO REDS"
BORDELAISESAUCE,"Steak topper"
BORDELAISESAUCE,"Stock plus roux, wine, and shallots"
BORDELAISESAUCE,"Wine-flavored espagnole"
BORDERINGSTATES,"Alaska and Hawaii lack them"
BORDERLINECASES,"Situations that aren't clear-cut"
BORDERLINECASES,"They can go either way"
BORDERLINECASES,"They could go either way"
BORDERLINECASES,"They're debatable"
BOREDDRAFTBOARD,"Selective Service office with nothing to do?"
BORESBOHRSBOARS,"Fails to entertain a Nobelist physicist's swine?"
BORINGGEOLOGIST,"Scientist who is tedious to a fault?"
BORISANDNATASHA,"Adversaries of 17A and 56A"
BORISANDNATASHA,"Bullwinkle foes"
BORISANDNATASHA,"Bullwinkle's nemeses"
BORISANDNATASHA,"Rocky's foes"
BORISANDNATASHA,"Scheming, inept duo of 1960s TV"
BORNINAHOSPITAL,"Carter was the first president ___"
BORNINAHOSPITAL,"What no president before Carter was"
BORNINALOGCABIN,"Stereotypically rural"
BORNONCHRISTMAS,"Like the people featured in this puzzle"
BORNONTHEFOURTH,"Qualified for a patriotic birthday"
BORNTORULEWHILE,"Quip, part 2"
BORNTOTHEPURPLE,"Like Prince William"
BORNTOTHEPURPLE,"Like Prince William, e.g."
BORNYESTERDAYHE,"Middle of the remark"
BORROWEDTROUBLE,"Action that may cause future problems"
BORROWEDTROUBLE,"Risked future harm"
BORROWEDTROUBLE,"Risked harm unnecessarily"
BORROWEDTROUBLE,"Worried needlessly"
BOSTONBRUINSTAR,"Orr"
BOSTONCREAMPIES,"Layered desserts"
BOSTONDIDNOTSOB,"Beantown had the last laugh?"
BOSTONDIDNOTSOB,"Red Sox fans mourned tearlessly"
BOSTONPOPSICLES,"Beantown frozen treats?"
BOSTONPURPLESOX,"Color combo #2: Depressed Beantown nine?"
BOSTONSTRAGGLER,"Beantown slowpoke?"
BOSTONSTRONGBOY,"John L. Sullivan"
BOSTONTEAMPARTY,"Celtics' celebration?"
BOSTONTEARPARTY,"East Coast ball for bawlers?"
BOTCHUPTHEWORKS,"Create disorder"
BOTCHUPTHEWORKS,"Create disorder, in a way"
BOTOXINJECTIONS,"Cure for crow's-feet"
BOTOXINJECTIONS,"Face plants?"
BOTOXINJECTIONS,"Wrinkle removers"
BOTTLEDEMOTIONS,"Repressed anger, et al."
BOTTLENOSEWHALE,"Marine mammal with a bulbous forehead"
BOTTLEOFPERFUME,"Valentine's Day gift, perhaps"
BOTTLEOFWHISKEY,"Top-shelf item at a bar"
BOTTLESALARYSKY,"Yet another three caps"
BOTTOMLESSPITON,"Broken climbing gear?"
BOTTOMLESSSPITZ,"Dog that never stops eating?"
BOTTOMOFTHECLAS,"*Dunce's place"
BOTTOMOFTHEDECK,"Ace place?"
BOTTOMOFTHEDECK,"Where some crooked deals originate?"
BOTTOMOFTHEDECK,"Where some deals originate?"
BOTTOMOFTHEFOOT,"Sole"
BOTTOMOFTHEHEAP,"*Last place"
BOTTOMOFTHEHEAP,"Lowest rank"
BOTTOMOFTHEHILL,"FOOT"
BOTTOMOFTHEHOLE,"Quip, part 4"
BOTTOMOFTHELINE,"Manufacturer's cheapest"
BOTTOMOFTHESHOE,"Sole"
BOTTOMSOPENTURN,"Three ""Up"" front?"
BOULDERCOLORADO,"City at the foot of the Flatiron Range"
BOULDERCOLORADO,"City near Denver"
BOULDERCOLORADO,"City northwest of Denver"
BOULDERCOLORADO,"Home of Celestial Seasonings"
BOULDERCOLORADO,"Home of the Buffalos"
BOULDERCOLORADO,"Hometown for a geologist?"
BOULDERCOLORADO,"Rocky Mountains city"
BOULDERCOLORADO,"Western university town"
BOULDERJUNCTION,"Wisconsin vacation spot"
BOUNCESBACKFROM,"Quickly recovers"
BOUNCINGBABYBOA,"Healthy, happy newborn snake?"
BOUNCINGBABYBOY,"Healthy delivery, maybe"
BOUNCINGBABYBOY,"Healthy delivery, perhaps"
BOUNCINGBABYBOY,"Nursery newcomer"
BOUNCINGBABYBOY,"Robust infant son"
BOUNCINGQUALITY,"Spring"
BOUNDLESSENERGY,"1995 Deepak Chopra book"
BOUNDLESSENERGY,"Live wire's trait"
BOUNDLESSENERGY,"What go-getters seem to have"
BOUNDLESSENERGY,"What little boys seem to have"
BOUNDTOGETTHERE,"Confucius say ""Man who drive like hell is ___"""
BOUNTIFULJOYOUS,"... More of a greeting..."
BOUQUETOFTHEFLU,"Get-well flower arrangement name?"
BOURBONSTRAIGHT,"Bar order?"
BOURNESUPERMACY,"Fictional spy who's really a giant department store founder?"
BOWLEROPPOSITES,"Hats that are soft and angular?"
BOWLERSBESTROLL,"Player's strike"
BOWLERSHEADACHE,"Split"
BOWLSOMEONEOVER,"Make a powerful impression on"
BOWZERSTROUSERS,"Apparel for a Sha Na Na bass?"
BOXBUMPERRENTAL,"Yet another three cars"
BOXERROSENBLOOM,"MAXIE"
BOXERSANDBRIEFS,"Kinds of shorts -- and what the circled squares represent"
BOXERSANDBRIEFS,"Possessions of a dog-loving lawyer?"
BOXINGCHAMPIONS,"Holyfield and Bowe"
BOXINGEQUIPMENT,"Punching bags, mouthguards, etc."
BOXOFCHOCOLATES,"Common Valentine's Day present"
BOXOFCHOCOLATES,"Forrest Gump offering"
BOXOFCHOCOLATES,"Gift #1"
BOXOFCHOCOLATES,"Godiva gift"
BOXOFCHOCOLATES,"Life, in a ""Forrest Gump"" simile"
BOXOFCHOCOLATES,"Popular gift"
BOXOFCHOCOLATES,"Sweet treat"
BOXOFCHOCOLATES,"Valentine present?"
BOXOFCHOCOLATES,"Valentine's Day gift, perhaps"
BOXOFCHOCOLATES,"Young-love present #1"
BOXOFFICEPOISON,"Movies' kiss of death"
BOXOFFICEPOISON,"Not exactly a big draw"
BRACESFORIMPACT,"Gets ready to crash"
BRADLEYANDCOSBY,"BILLS"
BRADLEYROBINSON,"The last two Bills"
BRAHMINSLULLABY,"Soothing song for the social elite?"
BRAIDINGONBOARD,"Working as a cruise ship hair stylist, say?"
BRAINSMEDALGAME,"Fight for third place at the Crossword Olympics?"
BRAINSTORMFRONT,"Meeting of minds/pressure line?"
BRAINWASHINGTON,"Hit a president on the head?"
BRAISEDTHEALARM,"Fried a fire bell?"
BRAISEYOURVOICE,"Get steamed in the kitchen?"
BRAISINGSADDLES,"Cooking cowboys' seats in fat?"
BRAISINGTHEBARB,"Cooking a metal point, like you would with short ribs?"
BRAKEDATTHEMOON,"Came in for a lunar landing?"
BRANCHLOCATIONS,"Bank list"
BRANDEDANTEATER,"Mammal that has a permanent mark?"
BRANDONMANITOBA,"City west of Winnipeg"
BRANDONMANITOBA,"Place nicknamed ""Wheat City"""
BRANDYALEXANDER,"Cocktail on our menu"
BRANDYALEXANDER,"Cocktail with chocolate and cream"
BRANDYALEXANDER,"Drink with cream"
BRANFORDMARSALA,"Vintner's favorite sax player?"
BRASSNAMEPLATES,"Accessories for some suits"
BRASSNAMEPLATES,"They often have titles on them"
BRASSSECRETCOAT,"Three more top followers"
BRATISLAVALIERE,"Czech necklace"
BRAVEREDMARINER,"Intrepid Eric?"
BRAVOALPHADELTA,"Hardly angelic"
BRAYFORAMIRACLE,"What desperate donkeys do?"
BRAYSEDPOTROAST,"A donkey's favorite entree?"
BREADBAKINGNEED,"Dough"
BREADCRUMBTRAIL,"Grimm indicator"
BREADCRUMBTRAIL,"Navigation aid for Hansel and Gretel"
BREADCRUMBTRAIL,"User interface navigation technique"
BREADFRUITTREES,"Tahiti botanical sights"
BREADSWIZZLEJOY,"Three sticks"
BREADTHERIOTACT,"Censure in the kitchen?"
BREAKALARGEBILL,"Make a lot of change"
BREAKBREAKBREAK,"Echoes from Tennyson"
BREAKBREAKBREAK,"Line from a laureate"
BREAKBREAKBREAK,"Smashing line from Tennyson?"
BREAKBREAKBREAK,"Young Tennyson's cry during a too-long class?"
BREAKFASTBUFFET,"Hotel freebie, perhaps"
BREAKFASTBUFFET,"Morning fare at the Marriott"
BREAKFASTCEREAL,"Fast food in a bowl"
BREAKFASTCEREAL,"Food in a bowl"
BREAKFASTCEREAL,"It may be quite flaky"
BREAKFASTCEREAL,"Life, for one"
BREAKFASTSERIAL,"Early show?"
BREAKFASTSPREAD,"JAM"
BREAKFASTTABLES,"Links holders"
BREAKINGPOINTER,"Dog that destroys stuff?"
BREAKINGTHEBANK,"Winning big"
BREAKINGTHEMOLD,"Showing originality"
BREAKINGTHEPEAS,"The farmer got busted for ___"
BREAKINGTHEVICE,"Getting rid of a bad habit?"
BREAKINGUSINTWO,"Joe Jackson hit of 1983"
BREAKINNEWSHOES,"Work to avoid blisters"
BREAKINTOASMILE,"Display happiness, in a way"
BREAKINTOASMILE,"Get happy"
BREAKINTOASWEAT,"Begin to look nervous"
BREAKINTOASWEAT,"Start getting nervous"
BREAKINTOASWEAT,"Start getting visibly nervous"
BREAKOFGREENDAY,"""When I Come Around"" getting heavy play on MTV?"
BREAKOUTINARASH,"React badly"
BREAKOUTTHEBANK,"Prepare to use a money institution?"
BREAKSINTOTEARS,"Loses it, maybe"
BREAKSNEWGROUND,"Emulates Edison, e.g."
BREAKSONESHEART,"Ends a relationship badly"
BREAKTHESILENCE,"Finally speak"
BREAKTHESILENCE,"Sing, so to speak"
BREAKUPTOMAKEUP,"1973 song by The Stylistics"
BREAKYOURWORDIF,"Part 2 of quip"
BREASTOFCHICKEN,"Basic hotel banquet entree"
BREASTOFCHICKEN,"Entree selection"
BREASTOFCHICKEN,"Entrée choice"
BREASTOFCHICKEN,"Entrée selection"
BREATHEINANDOUT,"Expand the intrapleural space, automatically allowing entry through the pharynx and beyond, then allow the diaphragm to relax, contract, and expel contents"
BREATHENOTAWORD,"Secret teller's lead-in"
BREATHOFCHICKEN,"Reason for foggy coop windows?"
BRETEASTONELLIS,"""American Psycho"" author"
BRETEASTONELLIS,"""American Psycho"" writer"
BRETHARTESHEART,"Courage of a writer?"
BREWEDAWAKENING,"Java?"
BREYERSICECREAM,"Supreme dessert (1994- )"
BRIANANDSHIRLEY,"Early Stone and singing actress"
BRICKSANDMORTAR,"Having physical presence, as a business"
BRICKSANDMORTAR,"Stonework"
BRIDALLASSITUDE,"Weariness at the altar?"
BRIDGEEVENWHERE,"Part 6 of the quotation"
BRIDGEFINANCING,"Home seller-and-buyer's short-term loan"
BRIDGEFINANCING,"Interim short-term borrowing"
BRIDGEFINANCING,"Loan to a company before it goes public, say"
BRIDGEOFTHENOSE,"Place to see spectacles?"
BRIDGEOFTHENOSE,"Spectacles' passage?"
BRIDGETONOWHERE,"Alaska boondoggle"
BRIDGETONOWHERE,"Alaska boondoggle in 2008 campaign news"
BRIDGETONOWHERE,"Engineering boondoggle"
BRIDGETONOWHERE,"Onetime Alaska boondoggle"
BRIDGETONOWHERE,"Symbol of pork"
BRIEFRESTPERIOD,"Short break"
BRIEFSWEREFILED,"End of the joke"
BRIGGSASTRATTON,"Manufacturer of lawnmower engines"
BRIGHTANDBREEZY,"Cheerful and energetic"
BRIGHTASABUTTON,"Brainy"
BRIGHTASABUTTON,"Clever and alert"
BRIGHTASABUTTON,"Clever; alert"
BRIGHTASABUTTON,"Quick-witted"
BRIGHTASABUTTON,"SMART"
BRIGHTENUPUPTON,"Help ""The Jungle"" author Sinclair feel cheerful?"
BRINGFULLCIRCLE,"End where you started"
BRINGFULLCIRCLE,"Return to the beginning"
BRINGINAVERDICT,"Formally decide"
BRINGINGINGRICH,"Suggestion for many '90s GOP fundraisers?"
BRINGMEAUNICORN,"Anne Morrow Lindbergh book"
BRINGOUTTHEBEST,"Elicit a top performance"
BRINGSTOJUSTICE,"Delivers to a cabinet department?"
BRINGSUPTHERHEA,"Raises a crossworder's bird?"
BRINGSUPTOSPEED,"Makes current"
BRINGTOTHETABLE,"Have to offer"
BRINKOFDISASTER,"Cliffhanger situation"
BRINKOFDISASTER,"Imminent catastrophe"
BRITISHACCIDENT,"Fender bender involving a lorry?"
BRITISHACCIDENT,"Lorry spinout?"
BRITISHALEHOUSE,"-"
BRITISHAUTOPART,"BONNET"
BRITISHAUTOPART,"Bonnet"
BRITISHBULLDOGS,"Popular pets"
BRITISHCHILLING,"Wintry English resort experience?"
BRITISHCOLUMBIA,"Gordon Campbell's province"
BRITISHCOLUMBIA,"Hope's province"
BRITISHCOLUMBIA,"Nelson's location"
BRITISHCOLUMBIA,"The theme of this crossword"
BRITISHCOLUMBIA,"Vernon's province"
BRITISHCOLUMBIA,"Victoria's home"
BRITISHCOLUMBIA,"Where the 2010 Winter Olympics was held*"
BRITISHCOLUMBIA,"Whistler's place"
BRITISHHAIRWAYS,"London salon?"
BRITISHHONDURAS,"Belize, in old atlases"
BRITISHHONDURAS,"Belize, once"
BRITISHHONDURAS,"Former name of Belize"
BRITISHINVASION,"1960's music phenomenon, and what each of the theme entries went through"
BRITISHMONOPOLY,"Trans-Atlantic board game"
BRITISHNOBLEMAN,"DUKE"
BRITISHPRINCESS,"""...Di"""
BRITISHRAINCOAT,"MAC"
BRITISHSATIRIST,"Swift"
BRITISHSATIRIST,"Swift, for example"
BRITISHSOLDIERS,"REDCOATS"
BRITTANYSPANIEL,"Orange and white sporting breed"
BROADCASTSTUDIO,"TV or radio show source"
BROADEGGNOODLES,"Pennsylvania Dutch bagful"
BROADJOURNALISM,"Cast away: general reporting?"
BROADLOOMCARPET,"Bigger cousin of an area rug"
BROADSHOULDERED,"Up to handling big burdens"
BROADWAYCLOSING,"*Lights out in New York City"
BROADWAYFAILURE,"TURKEY"
BROADWAYFAILURE,"TURKEY?"
BROADWAYFAILURE,"Turkey"
BROADWAYHOOFERS,"A chorus line, e.g."
BROADWAYLIMITED,"Classic NYC-to-Chicago passenger train"
BROADWAYMUSICAL,"*Big Apple show"
BROADWAYMUSICAL,"Angel's concern"
BROADWAYMUSICAL,"CATS"
BROADWAYSMASHES,"Hits"
BROADWAYSUCCESS,"HIT"
