AAAADDRESS,"Motorist's org. location"
CAPITALISM,"U.S. economic system, e.g."
CAPITALIST,"Astor, e.g."
CAPITALIST,"Believer in free enterprise"
CAPITALIST,"Business investor"
CAPITALIST,"Financial investor"
CAPITOLILL,"Congress gets a cold?"
CAPITOLINE,"One of Rome's seven hills"
CAPITULANT,"Yielder"
CAPITULATE,"Surrender one's troops"
CAPITULATE,"Yield"
CAPNCRUNCH,"'60s cereal"
CAPNCRUNCH,"Breakfast cereal icon"
CAPNCRUNCH,"Cereal box figure with a hat"
CAPNCRUNCH,"Cereal introduced in 1963"
CAPNCRUNCH,"Froot Loops alternative"
CAPNCRUNCH,"Life alternative"
CAPNCRUNCH,"Mascot whose first and middle names are Horatio Magellan"
CAPNCRUNCH,"Quaker Oats brand"
CAPNCRUNCH,"Quaker Oats cereal"
CAPONDANCE,"The Funky Chicken?"
CAPONETOWN,"Chicago?"
CAPPPISTOL,"Al's gun"
CAPPUCCINO,"Espresso drink"
CAPPUCCINO,"Sounds like Al's hat?"
CAPPUCCINO,"Starbucks offering"
CAPRIACORN,"Fall faller on an Italian island?"
CAPRICIOUS,"Mercurial"
CAPRICIOUS,"Unpredictable"
CAPRICORNS,"*Neat, practical types, so it's said"
CAPRICORNS,"Problems in the boot?"
CAPRICORNS,"Winter people"
CAPRIPANTS,"Island wear purchased in the Tyrrhenian?"
CAPRIPANTS,"Women's ankle-exposing trousers with tapered legs"
CAPSTANLEY,"Upright windlass?"
CAPSULIZED,"Like a news brief"
CAPTAINCOO,"Amorous ship leader?"
CAPTIVATES,"Charms"
CARACKAGES,"Students' gifts from home"
CARAMELIZE,"Cook sugar for apples"
CARAVAGGIO,"Italian Baroque artist"
CARBONCOPY,"Contract clone (whose abbreviation hints at this puzzle's theme)"
CARBONCOPY,"Double"
CARBONCOPY,"Duplicate"
CARBONCOPY,"E-mail feature"
CARBONCOPY,"Elemental duplicate?"
CARBONCOPY,"Exact replica"
CARBONCOPY,"Look-alike"
CARBONCOPY,"Old-time typescript duplicate"
CARBONCOPY,"Replica"
CARBONCOPY,"Smudgy representation"
CARBONDATE,"Go out with anyone or anything alive?"
CARBONUNIT,"Human being, in sci-fi movies"
CARBURETOR,"Choke's locale"
CARDEALERS,"They have lots of wheels"
CARDHOLDER,"Member"
CARDIOGRAM,"Heart test"
CARDIOLOGY,"Study of poker?"
CARDLYLION,"Beloved film character with a tail"
CARDOORMAT,"Auto accessory on a welcome sign?"
CARDORPOOL,"Shark"
CARDPLAYER,"World Series participant"
CARDSHARKS,"Game that debuted in 1978"
CARDSHARKS,"JACKFISH, KINGFISH?"
CARDSHARKS,"Predatory players"
CARDSHARKS,"Riverboat gamblers"
CARDSHARPS,"A pack of..."
CARDSMITHS,"Pokerists*"
CARDSTAKEN,"TRICK"
CARDSTORES,"Suppliers of greetings"
CAREERGIRL,"Working woman"
CAREERGOAL,"College decision for many"
CAREERGOAL,"Making partner, maybe"
CAREERGOAL,"Part of a life plan"
CAREERGOAL,"Résumé phrase"
CARETAKERS,"Nannies, e.g."
CARETAKERS,"Some guards"
CARETAKERS,"They may handle estates"
CARFERRIES,"Service providers to Martha's Vineyard, e.g."
CARGOHOLDS,"Merchantmen have them"
CARGOPANTS,"Attire with deep pockets"
CARGOPANTS,"Attire with supersized pockets"
CARGOPANTS,"Garment with a lot of pockets"
CARGOPANTS,"Piece of clothing with a bunch of pockets"
CARGOPANTS,"They have low pockets"
CARGOPANTS,"Wear for rough outdoor activities"
CARGOPLANE,"Aerial shipping method"
CARIBBEANC,"West Indian note?"
CARICATURE,"Hirschfeld drawing"
CARICATURE,"Lampooned likeness"
CARICATURE,"MacNelly's depiction of Clinton, e.g."
CARICATURE,"Not the real thing"
CARICATURE,"Politician in a political cartoon, e.g."
CARICATURE,"Unflattering portrait"
CARJACKING,"Tending to a flat?"
CARLANDROB,"""Meathead"" and dad?"
CARLNESSEL,"Event #1, casino employees' hold'em*"
CARLOPONTI,"Producer of ___La Strada___"
CARLREINER,"'The Jerk' director"
CARLREINER,"Creator of ""The Dick Van Dyke Show"""
CARLREINER,"Creator of Rob and Laura Petrie"
CARLREINER,"ROB'S"
CARLREINER,"Rob's father"
CARLSOLDER,"""Is Reiner younger than Van Dyke?"" ""No, ___"""
CARLYSIMON,"""Haven't Got Time for the Pain"" singer, 1974"
CARLYSIMON,"""The Spy Who Loved Me"" theme singer"
CARLYSIMON,"""You're So Vain"" singer"
CARLYSIMON,"Girl who worked her way to a 1985 Oscar"
CARLYSIMON,"She released the album ""The Bedroom Tapes"" in 2000 -- at age 55"
CARMELMIRA,"California and New York cities merge?"
CARMIRANDA,"Auto named for a singer?"
CARMIRANDA,"BANANA-HEADDRESS ACTRESS"
CARMITZVAH,"Coming-of-age on wheels?"
CARNATIONS,"Florist's stock"
CARNEYSART,"Actor's paintings?"
CAROLALTAR,"Rite place to sing Christmas songs?"
CAROLBRADY,"Classic Florence Henderson sitcom role"
CAROLBRADY,"TV mom of six"
CAROLCARLO,"43 Serenade Sophia's spouse?"
CAROLEKING,"""Chains"" songwriter"
CAROLEKING,"""It's Too Late"""
CAROLEKING,"""It's Too Late"" singer"
CAROLEKING,"""It's Too Late"" singing star"
CAROLEKING,"""Nightingale"" singer"
CAROLEKING,"Pop star singing about ""the end of love, the beginning of kindness"" (6,4)"
CAROLEKING,"Singer at the chess match?"
CAROLHEISS,"1960 Olympic gold medalist"
CAROLINENO,"""Pet Sounds"" track released as a solo Brian Wilson single"
CAROLINENO,"Beach Boys hit"
CAROLINIAN,"Calhoun was one"
CAROLINIAN,"Many a Panther fan"
CAROLLINER,"Christmas cruise ship?"
CARPAYMENT,"Last words of wisdom"
CARPBAGGER,"Successful angler?"
CARPENTERS,"""(They Long to Be) Close to You"" duo"
CARPENTERS,"""Close to You"" duo"
CARPENTERS,"""Goodbye to Love"" singers"
CARPENTERS,"""We've Only Just Begun"" performers"
CARPENTERS,"""We've Only Just Begun"" singers"
CARPENTERS,"The --- (brother-sister singing team)"
CARPENTERS,"Three-time Grammy-winning group with ""The"""
CARPETBAGS,"One-time suitcases"
CARPETBOMB,"Devastate from above"
CARPETDIEM,"24-hour rug sale?"
CARPOOLING,"Complaining about two doughnuts left for sharing in a commute (10)"
CARPOOLING,"Fuel-saving strategy"
CARPUSDIEM,"The day of the bone?"
CARREYSOUT,"Actor Jim's answering message?"
CARRIECATT,"League of Women Voters founder"
CARROTCAKE,"Another 'vegetable' that kids don't mind eating"
CARROTCAKE,"Dessert cart selection"
CARROTCAKE,"Dessert choice"
CARROTCAKE,"Dessert made from an orange vegetable: 2 wds."
CARROTCAKE,"It often has cream cheese frosting"
CARROTJEWS,"People chosen to get plenty of vitamin A?"
CARROTTOPS,"Arnez and Sills"
CARROTTOPS,"Lucille Ball and Maureen O'Hara, e.g."
CARROTTOPS,"Redheads"
CARROTTOPS,"Vegetarian's toys?"
CARROUSELS,"Vikki sings a round and a round?"
CARRPARKER,"Caleb and Robert B.'s novel about valet service?"
CARRPINTER,"Vikki and Harold's profession?"
CARRPOOLED,"Like funds gathered by singer Vikki?"
CARRYABIGS,"Show authority, in a saying"
CARRYATUNE,"Display one's ability to sing well"
CARRYATUNE,"Sing"
CARRYATUNE,"Sing OK"
CARRYATUNE,"Sing on key"
CARRYATUNE,"Sing satisfactorily"
CARRYATUNE,"Sing well"
CARRYONBAG,"""I'm an unattractive woman who'll gab the whole trip"""
CARRYONBAG,"Allotment of one, usually, for an airline passenger"
CARRYONBAG,"Traveling-light luggage"
CARRYONESX,"Suffer"
CARRYWAITE,"Temperance advocate Nation + 'The Waltons co-star'"
CARSERVICE,"Fast-food eatery convenience?"
CARSONCITY,"Capital of Nevada"
CARSONCITY,"Child in auto-Mobile gets capital"
CARSONCITY,"Western capital (1979-82, 1984)"
CARSONDALY,"""You can see me host a TV show seven times a week,"" said ___"
CARSONDALY,"Uber-cute host of ""Total Request Live"""
CARSTARTER,"C"
CARTERANTS,"Insects found among the peanut plants in Plains?"
CARTERBELT,"1970s Georgia?"
CARTESIANS,"Followers of philosopher René"
CARTOONING,"Pulitzer Prize category"
CARTOUCHES,"Auto loans"
CARTRAILER,"Boat carrier, at times"
CARTRIDGES,"Firearm insertions"
CARTRIDGES,"Printer inserts"
CARTRIDGES,"War games ammo (with the preceding space)"
CARTWHEELS,"Basic gymnastics moves"
CARTWRIGHT,"Little Joe, e.g."
CARVEBULLS,"Make taurine sculptures? (trade positions 2 and 7)"
CASABABABA,"Fruit cake?"
CASABLANCA,"""As Time Goes By"" film"
CASABLANCA,"""Here's looking at you"" film"
CASABLANCA,"(Cal's cabana)"
CASABLANCA,"*1942 film with the line ""What makes saloonkeepers so snobbish?"""
CASABLANCA,"1942 Bogart/Bergman film"
CASABLANCA,"1942 Warner Bros. smash"
CASABLANCA,"AFI's #2 (1942)"
CASABLANCA,"Best Picture 1943"
CASABLANCA,"Best Picture of 1943"
CASABLANCA,"Best Picture, 1943"
CASABLANCA,"Bogart/Bergman film classic"
CASABLANCA,"Ingrid Bergman-Humphrey Bogart classic"
CASABLANCA,"M. Curtiz's Best Picture"
CASABLANDA,"Wartime drama that's kind of boring?"
CASEBYCASE,"Kind of basis"
CASECLOSED,"FOOD COURT ___ CIRCUIT BOARD"
CASEHARDEN,"Make callous"
CASEWORKER,"Family counselor/beer distributor"
CASEWORKER,"Investigator of family problems, say"
CASEWORKER,"Laborer making watch covers?"
CASEWORKER,"Social agency investigator"
CASEYKASEM,"Youngest-ever Radio Hall of Fame inductee"
CASHASSETS,"Marketable securities, e.g."
CASHCOWBOY,"Ranch hand who eschews plastic?"
CASHDRAWER,"CD filled with money?"
CASHDRAWER,"Register feature"
CASHDRAWER,"Teller's charge"
CASHESINON,"A banker doesn't take advantage of opportunities, he ___ them"
CASHESINON,"Takes advantage of"
CASHEWNUTS,"Thai cuisine staple"
CASHHUNGRY,"Needing a loan"
CASHINHAND,"Obviously ready to make a purchase"
CASHISKING,"Basic monetary philosophy"
CASHISKING,"Debt avoider's maxim"
CASHISKING,"Investment seminar catchphrase"
CASHPHRASE,"""E pluribus unum,"" e.g.?"
CASINGSONG,"Sausage maker's anthem?"
CASINOEVIL,"Being addicted to gaming, perhaps?"
CASINOGAME,"Venue for this puzzle's theme"
CASOROYALE,"1967 spy movie spoof"
CASPIANSEA,"Baku is on it"
CASPIANSEA,"European saline lake"
CASPIANSEA,"The Volga River flows into it"
CASPIANSEA,"The world's largest lake"
CASPIANSEA,"Volga River destination"
CASPIANSEA,"World's largest inland lake"
CASSANDRAS,"Vocal pessimists"
CASSAVETES,"Part Mama but all John"
CASSELLIOT,"Big Mama"
CASSEROLES,"Potluck array"
CASSEROLES,"Potluck staples"
CASSIOPEIA,"Northern constellation"
CASSTIMBER,"Lewis's lane"
CASTASPELL,"Be charming"
CASTASPELL,"Be the charming type?"
CASTASPELL,"Do witch work"
CASTASPELL,"Put a hex on"
CASTASPELL,"Was charming?"
CASTEPARTY,"Brahman bash?"
CASTERNETS,"Certain fishing gear?"
CASTHENICS,"Gym class activity"
CASTIGATED,"Chewed out"
CASTIGATES,"Dresses down"
CASTIGATES,"Lambastes"
CASTINGRAY,"Giving Romano the role?"
CASTLEPEEK,"Quick look across the moat?"
CASTLEROCK,"Town in some Stephen King novels"
CASTLITTER,"Debris left on the stage by the troupe?"
CASTMEMBER,"Name in TV credits"
CASTROBEAN,"Revolutionary Cuban legume?"
CASTSASIDE,"Disposes of"
CASTSASIDE,"Gets rid of"
CASTSDOUBT,"Renders suspect"
CASTSLOOSE,"Lets go"
CASUALFRAY,"Sparring session?"
CATALOGUER,"Lynx becomes list maker"
CATAMARANS,"Dual-hulled boats"
CATAMARANS,"Two-hulled vessels"
CATANDMUSE,"Two inspirations for Dr. Seuss?"
CATAWAMPUS,"Diagonally, down South"
CATBURGLAR,"'You might call me an enterologist,' said the ___"
CATBURGLAR,"Danielle Foussard in ""To Catch a Thief,"" for one"
CATBURGLAR,"Grant's Robie in ""To Catch a Thief,"" for one"
CATBURGLAR,"One with taking ways?"
CATBURGLAR,"Robert Loggia's TV occupation"
CATBURGLAR,"Second-story man"
CATBURGLAR,"Sneaky thief"
CATBURGLAR,"Stealthy felon"
CATBURGLAR,"Stealthy stealer"
CATCALLING,"Alternative to booing or hissing"
CATCHACOLD,"Be affected by winter weather, perhaps"
CATCHACOLD,"Bug-collect"
CATCHARIDE,"Cab it, e.g."
CATCHASHOW,"See stars, perhaps"
CATCHASHOW,"What the theatergoer will do at the ballgame?"
CATCHAWAVE,"1963 Beach Boys tune"
CATCHAWAVE,"Start riding, in surfer-speak"
CATCHBASIN,"Sewer filter"
CATCHLINES,"Advertising campaign features"
CATCHLINES,"It seems all the great comics have them"
CATCHSOMES,"Hit the sack"
CATCHWORDS,"""And here's the pitch""?"
CATEGORIES,"Game of lists"
CATEGORIES,"Word game"
CATELAINES,"Feline castle mistresses?"
CATERWAULS,"Screeches"
CATERWAULS,"Shrill cries"
CATFISHROW,"""Porgy and Bess"" setting"
CATFISHROW,"Scene from ""Porgy and Bess"""
CATHEDRALS,"They keep large flocks"
CATHERSCAN,"Survey of Willa's work?"
CATHODERAY,"Crookes tube emission"
CATHODERAY,"Sir William Crookes discovery of 1879"
CATHODERAY,"Vacuum tube type"
CATNAPKINS,"Mealtime help for messy felines?"
CATNAPKINS,"Short snoozes"
CATONTAILS,"Whip"
CATOUTYOUR,"Mewsing, part 2"
CATSADRIFT,"Aimless Abyssinians?"
CATSCAMMER,"One who knowingly sells faulty scratching posts?"
CATSCANNER,"Hospital equipment"
CATSCRADLE,"Child's string game"
CATSCRADLE,"Children's game for two"
CATSCRADLE,"Children's string game"
CATSCRADLE,"Children's string game, or a novel"
CATSCRADLE,"Design with looped string"
CATSCRADLE,"Game of string"
CATSCRADLE,"Game played with strings looped over the fingers"
CATSCRADLE,"Game using string"
CATSCRADLE,"Kurt Vonnegut novel"
CATSCRADLE,"Kurt Vonnegut title"
CATSCRADLE,"Once-banned Kurt Vonnegut novel"
CATSCRADLE,"Simple string game"
CATSCRATCH,"Injury from Fluffy, perhaps"
CATSCRATCH,"Jazzman's do-re-mi?"
CATSMEADOW,"Bee's knees-or a frisky spot?"
CATSMEADOW,"Field for felines?"
CATSTEVENS,"""Moon Shadow"" singer"
CATSTEVENS,"""Oh Very Young"" singer"
CATSTEVENS,"""Peace Train"" singer"
CATSTEVENS,"English folk-rock superstar"
CATSTEVENS,"He wrote the Rod Stewart hit ""The First Cut Is the Deepest"""
CATSTEVENS,"Singer now called Yusuf Islam"
CATSTEVENS,"Singer now known as Yusef Islam"
CATSTEVENS,"Singer who changed his name to Yusuf Islam"
CATSTEVENS,"Yusuf Islam's former moniker"
CATTANOOGA,"Happy home for felines?"
CATTLECALL,"LOW"
CATTLECALL,"Mass audition"
CATTLECALL,"Open audition"
CATTLECALL,"Open audition, in slang"
CATTLECALL,"Phone message from Elsie's friends?"
CATTLEPROD,"Rancher's equipment"
CATTLEPROD,"Stock mover"
CATTLESHOW,"Gathering of politicians, informally"
CATTUESDAY,"Event where everyone in New Orleans naps in sunbeams?"
CATTYMINOR,"Youngster with an attitude?"
CATTYSHACK,"House of gossip?"
CAUCASIANS,"Some census respondents"
CAUGHTABUG,"The entomologist ___"
CAUGHTCOLD,"Got more than the sniffles"
CAUGHTCOLD,"Got the sniffles"
CAUGHTFAST,"Hit a snag"
CAUSALTECH,"Computer pro who diagnoses the reason for the problem?"
CAUSEASTIR,"Create trouble"
CAUSEASTIR,"Make waves"
CAUSEFORAL,"Gore ideal?"
CAVALRYMAN,"Little Bighorn fighter"
CAVALRYMEN,"Soldiers on horseback"
CAVEMIRROR,"Troglodyte grooming aid?"
CAWWAITING,"Avian telephone convenience?"
CAWWAITING,"Bird's phone service?"
CAYSCLOSED,"Warning sign when sea levels are high?"
CAYUGALAKE,"View from Cornell"
CBATTERIES,"Some toy inserts"
CBSREPORTS,"Follow-up series to ""See It Now"""
CCCCCCCCCC,"Stiffens up?"
CCCCTHEDAY,"Carpe diem"
CCHPOUNDER,"Portrayer of Dr. Angela Hicks on ""ER"""
CCHPOUNDER,"She played Captain Claudette Wyms on ""The Shield"""
CCSABATHIA,"2007 A.L. Cy Young winner"
CDLAUGHTER,"What you hear on a Chris Rock recording?"
CDROMDRIVE,"Common computer feature"
CDROMDRIVE,"Modern computer feature"
CDROMDRIVE,"Modern loading site"
CEASEFIRES,"Engagement breakers?"
CEASEFIRES,"Warfare hiatuses"
CECEWINANS,"""Alone in His Presence"" Grammy winner"
CECEWINANS,"Detroit-born gospel singer with eleven Grammys"
CECEWINANS,"Gospel superstar duo, with BeBe"
CEDARCHEST,"Blanket box"
CEDARCHEST,"It's often full of sheets"
CEDARCHEST,"Rustic storage"
CEDARFALLS,"Iowa college town"
CEDAROCRAT,"Believer in rule by conifers"
CEDARPOINT,"Resort near Sandusky"
CEELOGREEN,"Vocal coach on ""The Voice"""
CEILINGFAN,"Air conditioner alternative"
CEILINGFAN,"Circulation aid"
CEILINGFAN,"Devotee of a Sistine Chapel feature?"
CEILINGFAN,"High circulation increaser"
CEILINGFAN,"Sistine Chapel buff?"
CELEBRATES,"Observes"
CELEBRATOR,"Jubilant one"
CELERYSALT,"Bloody Mary seasoning"
CELERYSALT,"Traditional Bloody Mary seasoning"
CELINEDION,"""I'm Your Angel"" duettist with R. Kelly"
CELINEDION,"""My Heart Will Go On"" Grammy winner"
CELINEDION,"""My Heart Will Go On"" singer"
CELINEDION,"'Where Does My Heart Beat Now' singer"
CELINEDION,"*1996 Grammy winner for the album ""Falling Into You"""
CELINEDION,"1991 Oscar winner"
CELINEDION,"1997 Artist of the Year Grammy-winner"
CELINEDION,"1998 Grammy winner, for ""My Heart Will Go On"""
CELINEDION,"Canadian singing star"
CELINEDION,"Electrifying singer?"
CELINEDION,"Grammy and Juno award winning French-Canadian singer"
CELINEDION,"Grammy-winning singer"
CELINEDION,"Music store CD?"
CELINEDION,"North American singer who won the 1988 Eurovision contest by representing Switzerland"
CELINEDION,"Singer with the 1996 Grammy-winning album ""Falling Into You"""
CELLARRODS,"Fishing poles in the basement?"
CELLODOLLY,"Instrumental Broadway hit?"
CELLOPHANE,"Packaging material"
CELLOPHANE,"Packaging need"
CELLOPHANE,"Transparent packaging material"
CELLOSUITE,"Bach solo string composition"
CELSOFLAND,"Frames from ""Real Estate: The Animated Movie""?"
CEMENTNAIL,"Fastener for basement flooring, perhaps"
CEMETERIES,"Graveyards"
CEMETERIES,"Settings of many horror film scenes"
CENSORIOUS,"Disapproving"
CENSORSHIP,"Government suppression of the press"
CENSORSHIP,"Press suppression"
CENSORSHIP,"Theme of this puzzle"
CENSORSHIP,"Will H. Hays craft?"
CENTERFOLD,"#1 song of 1981 whose chorus is memorably whistled at one point"
CENTERFOLD,"It's bound to be at the heart of the issue"
CENTERFOLD,"Magazine opening?"
CENTERFOLD,"Model position?"
CENTERFOLD,"Staple of many a magazine?"
CENTERLINE,"*Painted highway divider"
CENTERLINE,"Two-lane road feature"
CENTICLAUS,"Measure of generosity?"
CENTICLAUS,"One-hundredth of a winter visitor?"
CENTIGRADE,"Thermometer choice"
CENTILITER,".6102 cubic inch"
CENTILLION,"Enormous number"
CENTIPEDES,"Primarily nocturnal arthropods"
CENTRALIST,"Advocate of stronger federal government"
CENTRALIZE,"Bring under a single control"
CENTRIOLES,"Cylindrical cell parts near the nuclei that divide during mitosis"
CENTSYMBOL,"$ relative"
CEOSTURNIN,"Business leaders hit the sack?"
CERAMICIST,"Pot thrower"
CEREALBOWL,"Flakes' setting"
CEREALBOWL,"Honeycomb holder"
CEREALBOWL,"LBO for Cap'n Crunch?"
CEREALBOWL,"Place for flakes"
CEREALBOWL,"Postseason game for flakes?"
CEREALBOWL,"Where the Nuggets play?"
CEREBELLUM,"Lower brain"
CEREBELLUM,"Piece of mind?"
CEREBRATED,"Thought"
CEREMONIAL,"For show only"
CEREMONIES,"Rites"
CERISESUIT,"Fancy way to refer to hearts?"
CERTIORARI,"Writ from a higher court"
CESARCARES,"23 Grape pickers' union pledge?"
CEXXTHEADS,"Dolts"
CHACHACHAP,"Latin dancing man?"
CHAIMPOTOK,"The Chosen one"
CHAINGANGS,"Groups of linked convicts"
CHAINGUARD,"Pedal-pusher protector"
CHAINHITCH,"One military stint after another?"
CHAINSMOKE,"Consume consecutive Camels"
CHAINSTORE,"... place to shop?"
CHAINSTORE,"Franchise emporium"
CHAINSTORE,"K-Mart outlet, e.g."
CHAINSTORE,"Many a mall outlet"
CHAINSTORE,"One of a retail group"
CHAINSTORE,"Safeway, e.g."
CHAINSTORE,"Wal-Mart, for one"
CHAINSTORE,"Watch accessory marketer?"
CHAINSTORE,"Where to buy bicycle parts?"
CHAINSTORE,"Where to pick up traction aids?"
CHAIRBRUSH,"Device used for furniture grooming?"
CHAIRBUSCH,"Preside over the Cardinals' ballpark?"
CHAIRCOVER,"Upscale wedding reception amenity"
CHAIRLIFTS,"Many skiers use these when they [see diagonal starting in upper left corner]"
CHAIRSAHOY,"""Steer port, captain, for thar be places to sit at last!"" [HIP]"
CHAIRSTYLE,"Individual way of leading a meeting?"
CHAIRWOMAN,"Committee honcho, sometimes"
CHAIRWOMAN,"Committee leader"
CHALETLONG,"Homey of the ""Cheers"" cast?"
CHALKMARKS,"* ""Then I found these,"" she said, and even I was shocked. There were ___ on the floor..."
CHALLENGED,"Didn't just accept"
CHALLENGER,"#3"
CHALLENGER,"Champion's adversary"
CHALLENGER,"Space shuttle in which Sally Ride became the first American woman in space (June 19, 1983)"
CHALLENGER,"Space shuttle that broke apart on a 1986 mission, killing all seven crew members"
CHALLENGER,"U.S. space shuttle"
CHAMELEONS,"Quick-changers"
CHAMPDAVID,"Title for a giant feller?"
CHANCELLOR,"Part Jackie but all John"
CHANCESARE,"1957 #1 song"
CHANCESARE,"Johnny Mathis hit"
CHANCESARE,"One of Johnny Mathis's greatest hits"
CHANCEUPON,"Run into"
CHANDELIER,"Drunk held a nicer raised glass? (10)"
CHANDELIER,"Ornate fixture"
CHANGEABLE,"Fickle"
CHANGEINTO,"Put on later, perhaps"
CHANGEJOBS,"Find new work - or what you must do to get the three theme entries' names in this puzzle"
CHANGEKEYS,"Pitch the music higher or lower"
CHANGELESS,"Board game ÷ seraph = constant"
CHANGJIANG,"3,200-mile-long river through central China: 2 wds."
CHANGLEECH,"One who sponges off of Eng's twin?"
CHANNELHOP,"Surf"
CHANNELING,"In touch with Cleopatra?"
CHAPELHILL,"North Carolina town where James Taylor grew up"
CHAPERONED,"Like many first dates"
CHAPERONED,"Performed a duenna's duties"
CHAPERONES,"Protectors of sorts"
CHAPTERTWO,"Neil Simon play"
CHARACTERS,"a, b, c, d, e, etc."
CHARDONNAY,"Dry white wine"
CHARDONNAY,"White wine"
CHARGECARD,"It's returned after someone swipes it?"
CHARGECARD,"It's swiped, then returned"
CHARGECARD,"Note that will give you a thrill?"
CHARGECARD,"One way to pay"
CHARGECARD,"Plastic wallet item"
CHARGECARD,"ROOM SERVICE ___ TRICK KNEE"
CHARGECARD,"Record of accusations?"
CHARGECARD,"Visa, e.g."
CHARIOTEER,"""Ben Hur"" extra"
CHARIOTEER,"Auriga"
CHARIOTEER,"Ben Hur, e.g."
CHARIOTEER,"Ben Hur, for one"
CHARIOTEER,"Ben-Hur, e.g."
CHARIOTEER,"What a certain constellation represents"
CHARISMATA,"Personal magnetisms"
CHARISMATA,"Spiritual powers"
CHARITABLE,"Generous with gifts to the needy"
CHARITABLE,"Giving"
CHARITABLE,"Kind"
CHARITABLE,"Word at the top of IRS Form 8283"
CHARLATANS,"Fakes"
CHARLESDAR,"Naturalist loser?"
CHARLESIII,"England's next king, maybe"
CHARLESTON,"'20s dance"
CHARLESTON,"Boyer's dance"
CHARLESTON,"Dance of the 1920's"
CHARLESTON,"Flapper's dance"
CHARLESTON,"Fort Sumter locale"
CHARLESTON,"Jazz age dance"
CHARLESTON,"Lively ballroom dance of the 1920's"
CHARLESTON,"Lively dance of the 1920s"
CHARLESTON,"Roaring Twenties dance"
CHARLESTON,"South Carolina city"
CHARLESTON,"South Carolina seaport that was hit with a major earthquake in 1886"
CHARLESTON,"Spike Jones city of song"
CHARLESTON,"State capital with Yeager Airport"
CHARLESTON,"West Virginia capital"
CHARLESTON,"West Virginia's capital"
CHARLESVII,"King of France (1422-61)"
CHARLEYHAY,"Muscle cramp, per this puzzle's title"
CHARLOMEIN,"European king whose only weakness was Chinese food?"
CHARMPITCH,"Singles bar come-on?"
CHARMWOMEN,"Fortunetellers?"
CHARTREUSE,"Clear, light green with a yellowish tinge"
CHARTREUSE,"Color named for a liqueur"
CHARTREUSE,"Crayola color renamed Laser Lemon"
CHARTREUSE,"Plot the future. Think green. Recycle."
CHARTREUSE,"Yellowish-green"
CHASADDAMS,"The New Yorker cartoonist"
CHASEACHES,"Challenges for a bank's in-house masseur?"
CHASECHEVY,"Follow after a Camaro in Maryland?"
CHASECHEVY,"Run after a comic?"
CHASEFIELD,"Arizona Diamondbacks ballpark (1988)"
CHASESCENE,"""Bullitt"" has a famous one"
CHASESCENE,"Action flick staple"
CHASESCENE,"Action thriller staple"
CHASESCENE,"Hollywood climax"
CHASESCENE,"Many a thriller finale"
CHASESTUDY,"Investigation of one person after another?"
CHASEUTLEY,"Five-time All-Star second baseman"
CHASEUTLEY,"Phillies All-Star infielder"
CHASTENING,"Dressing down"
CHATEAUGAY,"1963 Derby winner"
CHATELAINE,"Castle mistress"
CHATELAINE,"Mistress of a castle"
CHATELAINE,"Mistress of an elegant household"
CHATOYANCY,"Iridescent quality of some gems"
CHATTERBOX,"Big talker"
CHATTERBOX,"Excessive talker"
CHATTERBOX,"MAGPIE"
CHATTERBOX,"Magpie"
CHATTERBOX,"Motor mouth"
CHATTERBOX,"Motor-mouth"
CHATTERBOX,"Motormouth"
CHATWINDOW,"Facebook feature"
CHAUFFEURS,"Some prom night drivers"
CHAUTAUQUA,"New York lake and colony"
CHAUTAUQUA,"Outdoor tent show"
CHAUTAUQUA,"Westernmost county in New York"
CHEAPDATES,"Easily pleased companions"
CHEAPDATES,"Easy-to-please companions"
CHEAPDATES,"They're easy to please"
CHEAPDATES,"Walks in the park, perhaps"
CHEAPMONEY,"Result of low interest rates"
CHEAPPEACH,"Inexpensive fruit?"
CHEAPSEATS,"*Nosebleed section, so to speak"
CHEAPSEATS,"Arena section for the hoi polloi"
CHEAPSEATS,"Hit by Alabama"
CHEAPSEATS,"Nosebleed section"
CHEAPSEATS,"They're not near the action"
CHEAPSHOTS,"Photos for a pittance?"
CHEAPSHOTS,"They're dirty pool"
CHEAPSKATE,"Penny pincher"
CHEAPSKATE,"Ray that wont pay?"
CHEAPSKATE,"Tightwad"
CHEAPSTICK,"Bargain basement baton?"
CHEAPTREAT,"Piece of penny candy?"
CHEAPTRICK,"""I Want You to Want Me"" band"
CHEATCODES,"Up, Up, Down, Down, Left, Right, Left, Right, B, A, Start; etc."
CHEATROOMS,"Scammers' hangouts?"
CHEATSHEET,"Crib"
CHEATSHEET,"Illicit memory aid"
CHEATSHEET,"Quick reference"
CHECKBOOKS,"Banks issue them"
CHECKBOOKS,"Pay-as-you-go with these"
CHECKCOREA,"Poker-playing jazz pianist?"
CHECKCZECH,"Examine an Eastern European language?"
CHECKERCAB,"One way to get around town"
CHECKLISTS,"They've got things to do"
CHECKMARKS,"They may be next to correct answers"
CHECKMATES,"Beat petty officers at chess?"
CHECKMATES,"Spouses with a joint account?"
CHECKPOINT,"Blockade stop"
CHECKPOINT,"Charlie of Berlin, e.g."
CHECKPOINT,"Charlie, for one"
CHECKPOINT,"Road rally station"
CHECKPOINT,"___ Charlie (border crossing between East and West Berlin during the cold war)"
CHECKROOMS,"They're called left-luggage offices in Britain"
CHECKSINTO,"Examines"
