AAAMILNE,"Children's author and roadside helper?"
EXISTENT,"Living"
EXISTENT,"Not imaginary"
EXISTENZ,"1999 David Cronenberg movie about virtual reality"
EXISTENZ,"1999 David Cronenberg thriller"
EXISTING,"Alive"
EXISTING,"Real"
EXITFEES,"Going rates?"
EXITLANE,"A way to get off"
EXITLANE,"It leads to the off-ramp"
EXITLANE,"Off-ramp approach"
EXITLANE,"Place for those only interested in getting off"
EXITLANE,"Place to get off"
EXITLANE,"Turnpike feature"
EXITLANE,"Way off"
EXITLANE,"Way to get off"
EXITLANE,"Where to get off"
EXITLINE,"Blanche DuBois's ""I have always depended on the kindness of strangers,"" e.g."
EXITONLY,"Highway warning sign"
EXITONLY,"Sign out?"
EXITPOLL,"Biennial news tool"
EXITPOLL,"Data source for an election analyst"
EXITPOLL,"Election day survey"
EXITPOLL,"Election-predicting aid"
EXITPOLL,"Election-predicting tool"
EXITPOLL,"Forecasting tool"
EXITPOLL,"On-the-spot canvass of voters"
EXITPOLL,"Political predictor"
EXITPOLL,"Primary sample, perhaps"
EXITPOLL,"Questions to those who are leaving"
EXITPOLL,"Something taken on the way out"
EXITPOLL,"Voters' survey"
EXITRAMP,"Cloverleaf feature"
EXITRAMP,"Escape route from a traffic jam"
EXITRAMP,"Freeway feature"
EXITRAMP,"Interstate sight"
EXITRAMP,"It can be a major turnoff"
EXITRAMP,"Way off"
EXITRAMP,"Way off the interstate"
EXITRAMP,"Where to get off"
EXITSIGN,"It's usually over a door"
EXITVISA,"Embassy issue?"
EXITVISA,"Emigrant's document"
EXITVISA,"It might need to come before you can go"
EXITVISA,"It's needed to leave some countries"
EXITVISA,"Permit for leaving a country"
EXITVISA,"Permit to leave the country"
EXITVISA,"You may need one to leave"
EXITVISA,"You might get one to go?"
EXITVISA,"You needed one to leave the USSR"
EXLEADER,"Deposed chief"
EXLEADER,"Ousted tyrant, e.g."
EXLIBRIS,"*From the library of, in Latin"
EXLIBRIS,"Book label"
EXLIBRIS,"Book owner's phrase"
EXLIBRIS,"Bookplate"
EXLIBRIS,"Bookplate inscription"
EXLIBRIS,"Bookplate words"
EXLIBRIS,"Label identifying a book-owner"
EXLIBRIS,"Latin phrase on a bookplate"
EXOCRINE,"Like salivary glands"
EXOCRINE,"Like sweat glands"
EXODUSES,"Mass departures"
EXORABLE,"Susceptible of being persuaded"
EXORABLE,"Susceptible to being persuaded"
EXORCISE,"Cast out"
EXORCISE,"Deal with, as demons"
EXORCISE,"Dispossess?"
EXORCISE,"Drive out evil spirits"
EXORCISE,"Free from evil spirits"
EXORCISE,"Free of evil spirits"
EXORCISE,"Get the devil out of here?"
EXORCISE,"Get the devil out of there?"
EXORCISE,"Rid of evil spirits"
EXORCISM,"Dispossession?"
EXORCISM,"Head-turning experience?"
EXORCISM,"It may scare the devil out of you"
EXORCIST,"1973 horror classic (with ""The"")"
EXORCIST,"Dispossessor?"
EXORCIST,"Horror classic (with ""The"")"
EXORDIUM,"""In the Year 2525 (___ and Terminus)"" (#1 hit for six weeks in 1969)"
EXORIOLE,"Former Baltimore pro"
EXOTOXIN,"Microorganism discharge"
EXOUTLAW,"Gary Cooper played one in ""Man of the West"""
EXPANDED,"Branched out"
EXPANSES,"Broad stretches"
EXPARIAE,"An American in Paris, perhaps"
EXPECTED,"Wasn't surprised by"
EXPECTTO,"Likely will"
EXPECTTO,"Part 5 of quote"
EXPEDITE,"Ease the way for progress"
EXPEDITE,"Handle efficiently"
EXPEDITE,"Hasten east after walker briefly enters off-ramp (8)"
EXPEDITE,"Hurry up"
EXPEDITE,"Process quickly and efficiently"
EXPEDITE,"Speed the progress of"
EXPEDITE,"Speed up"
EXPEDITE,"Speed up the progress of"
EXPELLED,"Kicked out of school"
EXPELLED,"Punished for plagiarism, say"
EXPELLEE,"Booted one"
EXPELLER,"Principal ousting a student, e.g."
EXPENSES,"Business deductions"
EXPENSES,"Divorcés covering writer's costs (8)"
EXPENSES,"Money out"
EXPERTLY,"As an old hand"
EXPERTLY,"How pros do things"
EXPERTLY,"In a proficient manner"
EXPERTLY,"With a deft touch"
EXPERTLY,"With proficiency"
EXPERTLY,"With skill"
EXPIABLE,"Not beyond redemption"
EXPIABLE,"Subject to recompense, as a crime"
EXPIATED,"Atoned for, as sins"
EXPIATES,"Answers for"
EXPIRING,"Losing validity"
EXPIRING,"Running out"
EXPLAINS,"Clears up"
EXPLAINS,"Makes clear"
EXPLICIT,"Like lyrics that got Tipper Gore riled up"
EXPLICIT,"Not at all equivocal"
EXPLICIT,"Worthy of an X rating"
EXPLODED,"DYNAMITE..."
EXPLODED,"Erupted"
EXPLODER,"Stick of dynamite, e.g."
EXPLODES,"Blows up or loses it"
EXPLODES,"Goes off"
EXPLODES,"Loses it"
EXPLOITS,"Daring adventures"
EXPLORED,"Went into uncharted territory"
EXPLORER,"'Come with me!' I say. 'Be an ___ of lost worlds!'..."
EXPLORER,"Ford model for Christopher Columbus"
EXPLORER,"NASA satellite name"
EXPLORES,"Checks out"
EXPLORES,"Probes"
EXPLORES,"Searches into"
EXPONENT,"Advocate"
EXPONENT,"Figure in ""E = mc²"""
EXPONENT,"Mathematical expression"
EXPONENT,"Power of a number"
EXPONENT,"Power symbol"
EXPONENT,"Square figure?"
EXPORTED,"Sent out, in a way"
EXPORTER,"European automaker, e.g."
EXPORTER,"Foreign-trade VIP"
EXPORTER,"Former train worker?"
EXPORTER,"International merchant"
EXPORTER,"Overseas trader"
EXPOSERS,"Scandalmongers"
EXPOSERS,"Whistle-blowers"
EXPOSETO,"Show, as something new"
EXPOSING,"Shedding light on"
EXPOSURE,"Candidate's need, often"
EXPOSURE,"Cause of frostbite or suntan"
EXPOSURE,"Concealment's opposite"
EXPOSURE,"Divulging of a secret"
EXPOSURE,"Film frame"
EXPOSURE,"Film image"
EXPOSURE,"Financial vulnerability"
EXPOSURE,"Hazard for the snowbound"
EXPOSURE,"PR agent's job"
EXPOSURE,"Pentax setting"
EXPOSURE,"Photographer's concern"
EXPOSURE,"Photographer's image"
EXPOSURE,"Star's press coverage"
EXPOUNDS,"States in detail"
EXPUNGED,"Wiped out"
EXPUNGER,"One who strikes out"
EXPUNGES,"Wipes out"
EXRATING,"Previous assessment?"
EXSCINDS,"Cuts out"
EXSPOUSE,"Alimony recipient"
EXTENDED,"Far out"
EXTENDED,"Like some warranties"
EXTENDED,"Longer"
EXTENDED,"Stretched out"
EXTENDER,"Dilution substance"
EXTENDER,"Former sheep herder?"
EXTENDER,"Hamburger Helper, e.g."
EXTENDTO,"Reach as far as"
EXTENDTO,"Reach as far as, as property vis-à-vis its boundary"
EXTENSOR,"Finger-straightening muscle"
EXTERIOR,"Like some paint"
EXTERIOR,"Outside"
EXTERIOR,"Outward"
EXTERIOR,"Paint grade"
EXTERIOR,"Surface"
EXTERNAL,"Like some hard drives"
EXTERNAL,"Like some modems"
EXTERNAL,"On the outside"
EXTERNAL,"On the surface"
EXTERNAL,"Outer"
EXTERNAL,"Outside"
EXTERNAL,"Superficial"
EXTOLLED,"Glorified"
EXTOLLED,"Lauded"
EXTOLLED,"Sang the praises of"
EXTORTED,"Demanded a ransom, e.g."
EXTORTED,"Obtained by threat"
EXTORTED,"Obtained via force"
EXTORTER,"Blackmailer"
EXTORTER,"Shake down artist"
EXTRACTS,"Gets the lode out"
EXTRADRY,"Describing some wines"
EXTRADRY,"Martini type"
EXTRAHOT,"Really, really spicy"
EXTRAONE,"Spare"
EXTREMER,"Reactionaries, politically"
EXTREMES,"Drastic measures"
EXTREMES,"Go to ___ (be immoderate)"
EXTREMES,"Guinness data"
EXTREMES,"Maximum and minimum"
EXTREMES,"Maximums measured by sex meter"
EXTREMES,"North and south, e.g."
EXTREMES,"Opposite poles"
EXTREMES,"People sometimes go to them"
EXTREMES,"Polar opposites"
EXTREMES,"Tails of the spectrum"
EXTREMES,"They're polar"
EXTREMES,"They're poles apart"
EXTREMES,"What overdoers go to"
EXTREMES,"What the desperate may go to"
EXTREMEW,"Reactionary"
EXTREMIS,"In___(near death)"
EXTRORSE,"Facing outward, as anthers"
EXTRUDES,"Forces out"
EXTRUDES,"Shapes, in a way"
EXTRUDES,"Squeezes out"
EXTRUDES,"Sticks out"
EXTRUDES,"Thrusts out"
EXTRUDES,"Uses a blackhead gun, e.g."
EXUDATES,"Sap and sweat"
EXUDATES,"Substances that ooze out"
EXULTANT,"Dancing on air"
EXULTANT,"Jubilant"
EXULTANT,"More than happy"
EXURBIAS,"Growing population areas"
EXYANKEE,"Don Mattingly, e.g."
EXYANKEE,"Joe Torre, e.g."
EXYANKEE,"One who used to get Bronx cheers?"
EYEBALLS,"Checks out"
EYEBALLS,"Fillers of sockets"
EYEBALLS,"Good lookers?"
EYEBALLS,"Has a close look at"
EYEBALLS,"Looks over"
EYEBALLS,"Looks over closely"
EYEBALLS,"Peepers"
EYEBALLS,"They're found in orbits"
EYEBEAMS,"Superman's X-ray vision?"
EYEBLINK,"Rapid reflex"
EYEBOLTS,"Hardware with ring-shaped heads"
EYEBOLTS,"Rope attachments, sometimes"
EYEBROWS,"Madonna has raised them throughout her career"
EYEBROWS,"Sometimes bushy features"
EYEBROWS,"They may be penciled in"
EYEBROWS,"They're often plucked"
EYECANDY,"*Visual appeal"
EYECANDY,"Dessert at the cannibals' luncheon?"
EYECANDY,"Head turner, say"
EYECANDY,"Impressive but empty visuals"
EYECANDY,"It's pretty, if not proficient"
EYECANDY,"Nice things to look at"
EYECANDY,"Pretty stuff"
EYECANDY,"Pretty stuff to look at"
EYECANDY,"Pretty things to look at"
EYECANDY,"Stunning computer graphics, e.g."
EYECANDY,"Trophy spouse, so to speak"
EYECHART,"""E"" has a line on it"
EYECHART,"Exam material you really wouldn't want to memorize"
EYECHART,"It begins with an E (in two ways)"
EYECHART,"It has fine print at the bottom"
EYECHART,"It includes some fine print"
EYECHART,"It may be used to find out if you have good contacts"
EYECHART,"It may end in PEZOLCFTD"
EYECHART,"Lines of sight?"
EYECHART,"Place for a large E"
EYECHART,"Where ""E"" is a line"
EYECHART,"Where E is a line"
EYECOLOR,"Brown, commonly"
EYECOLOR,"Driver's license datum"
EYECOLOR,"Driver's license info"
EYECOLOR,"Driver's license information"
EYECOLOR,"Factual info on a dating service questionnaire"
EYECOLOR,"Hazel, e.g."
EYECOLOR,"Hazel, for example"
EYECREAM,"Crow's feet removers"
EYECREAM,"It may cover dark circles"
EYEDROPS,"An optometrist may administer them"
EYEDROPS,"Contacts need"
EYEDROPS,"Ophthalmologist's prescription"
EYEDROPS,"Optometrist's prescription"
EYEDROPS,"Tears?"
EYEDROPS,"They may get the red out"
EYEEXAMS,"License bureau procedures"
EYEEXAMS,"Reading tests"
EYEEXAMS,"Snellen charts can be used in them"
EYEEXAMS,"Tests by optometrists"
EYEEXAMS,"Visual aids?"
EYEEXAMS,"What drivers must pass"
EYEEXAMS,"Where pupils are tested"
EYEGLASS,"Monocle"
EYEGLASS,"Pupil's enhancement"
EYEGLASS,"Spectacle"
EYEHOLES,"Ghost costume feature"
EYEHOLES,"Halloween costume features"
EYEHOLES,"Halloween mask necessities"
EYEHOLES,"Mask features"
EYEHOLES,"Places for laces"
EYEHOLES,"Visual aids for a halloween ghost"
EYELEVEL,"Convenient viewing plane"
EYELEVEL,"Height where things are easy to read"
EYELEVEL,"Natural viewing height"
EYELEVEL,"Where a camera is usually held"
EYELEVEL,"Where sale items are placed in stores"
EYELINER,"Cosmetic item"
EYELINER,"Cover for a lid?"
EYELINER,"Emo boy's makeup"
EYELINER,"Goth's look enhancer"
EYELINER,"It may be penciled in"
EYELINER,"It may come from a pencil"
EYELINER,"Kohl, e.g."
EYELINER,"Lid edger"
EYELINER,"Makeup component"
EYELINER,"Makeup item"
EYELINER,"Makeup kit staple"
EYELINER,"Orb accenter"
EYELINER,"Part of a makeup kit"
EYELINER,"Pencil application"
EYELINER,"Pencil of a sort"
EYEPATCH,"Classic costume piece for a pirate"
EYEPATCH,"Item for a pirate, stereotypically"
EYEPATCH,"James Joyce famously wore one"
EYEPATCH,"Moshe Dayan trademark"
EYEPATCH,"Pirate costume accessory"
EYEPATCH,"Pirate costume feature"
EYEPATCH,"Pirate feature"
EYEPATCH,"Pirate's face wear"
EYEPIECE,"Binoculars part"
EYEPIECE,"Crosshair setting"
EYEPIECE,"It's worth looking into"
EYEPIECE,"Lens"
EYEPIECE,"Microscope part"
EYEPIECE,"Monocle"
EYEPIECE,"Someone should look into it"
EYEPIECE,"Telescope part"
EYEPIECE,"Telescopic part"
EYERHYME,"Bone or stone, for one"
EYERHYME,"Stone, for one?"
EYERHYME,"Wood for food, maybe"
EYESATME,"""Ma, he's makin' ___!"""
EYESHADE,"Cover for some sleepers"
EYESHADE,"Croupier's headgear"
EYESHADE,"Editor's visor"
EYESHADE,"Freebie on some airplane flights"
EYESHADE,"Gambler's headwear"
EYESHADE,"Nap accessory"
EYESHADE,"Poker player's accessory"
EYESHADE,"Poker player's headgear"
EYESHADE,"Sleeping aid"
EYESHADE,"Sleeping tool"
EYESHADE,"Sun visor"
EYESHADE,"Sun visor, e.g."
EYESHADE,"Visor"
EYESHOTS,"Views"
EYESIGHT,"Common sense that Milton and Homer lacked"
EYESIGHT,"It improves when you have contacts"
EYESIGHT,"It needs some perspective"
EYESIGHT,"Optometrist's concern"
EYESIGHT,"Vision"
EYESLEFT,"Drill command"
EYESLEFT,"Drill instructor's command"
EYESLEFT,"Marching order"
EYESLEFT,"Marching orders?"
EYESONLY,"Not meant to be shared"
EYESONLY,"Part of a Bond film title"
EYESOPEN,"*Keep one's ___ (be on the alert)"
EYESORES,"Billboards, often"
EYESORES,"Billboards, to some"
EYESORES,"Blemishes"
EYESORES,"Blights"
EYESORES,"Blots on blocks"
EYESORES,"Blots on the cityscape"
EYESORES,"Blots on the landscape"
EYESORES,"City blights"
EYESORES,"Dumps"
EYESORES,"Fouled keels, oil slicks, etc."
EYESORES,"Junkyards, e.g."
EYESORES,"Roadside litter and abandoned buildings"
EYESORES,"Rundown areas"
EYESORES,"Seedy sights"
EYESORES,"Skyscrapers, to some"
EYESORES,"Slums, e.g."
EYESORES,"Sties"
EYESORES,"Styes"
EYESORES,"Tacky lawn ornaments, e.g."
EYESORES,"They're not pretty"
EYESORES,"They're not pretty sights"
EYESORES,"Trash bins, graffiti, etc."
EYESORES,"Trash heaps, e.g."
EYESORES,"Ugly sights"
EYESORES,"Ugly things"
EYESORES,"Unpleasant sights"
EYESORES,"Unsavory sights"
EYESORES,"Unsightly sights"
EYESORES,"Visual offenses"
EYESORES,"Weedy lots, e.g."
EYESPOTS,"Peacock features"
EYESTALK,"Part of a lobster's anatomy"
EYESTALK,"Piece of lobster or shrimp?"
EYESTALK,"Snail feature"
EYESTONE,"Ophthalmologist's implement"
EYETEETH,"Canines"
EYETEETH,"Canines metaphorically exchanged for something desired"
EYETEETH,"Canines often metaphorically sacrificed"
EYETEETH,"Canines that bite"
EYETEETH,"Canines, to a dentist"
EYETEETH,"Choice things to give?"
EYETEETH,"Exchange for something precious"
EYETEETH,"Exchange for something very valuable"
EYETEETH,"Precious canines"
EYETEETH,"Precious things to give"
EYETEETH,"Price of something longed for"
EYETEETH,"Some canines"
EYETEETH,"They're between the incisors and the premolars"
EYETEETH,"They're cut when becoming worldly-wise"
EYETEETH,"Upper canines"
EYETEETH,"Valuable things to give?"
EYETESTS,"Driving needs"
EYETESTS,"Driving needs?"
EYETESTS,"Exams conducted in a twenty foot space"
EYETESTS,"Exams of pupils, e.g."
EYETESTS,"Mr. Magoo fails them every time"
EYETESTS,"Optometric exams"
EYETESTS,"People try to look their best for these"
EYETESTS,"Providers of peer review?"
EYETESTS,"Requirements for some licenses"
EYETESTS,"Some reading exams?"
EYETESTS,"They help you acquire contacts"
EYETESTS,"They may result in contacts"
EYETESTS,"They're given at motor vehicle bureaus"
EYETESTS,"They're useful in making contacts"
EYETESTS,"Things to look your best for?"
EYETOEYE,"A way to see"
EYETOEYE,"A way to see things"
EYETOEYE,"Good way to see"
EYETOEYE,"How some like to see things"
EYETOEYE,"How some see"
EYETOEYE,"How the like-minded see"
EYETOEYE,"How those in agreement see"
EYETOEYE,"In agreement"
EYETOEYE,"One way of seeing"
EYETOEYE,"One way to see"
EYETOEYE,"Perfectly alike"
EYETOEYE,"The same way"
EYETOOTH,"Canine"
EYETOOTH,"Canine chomper"
EYETOOTH,"Canine neighbour"
EYETOOTH,"Canine, but not a dog"
EYETOOTH,"Certain canine"
EYETOOTH,"Enamel canine"
EYETOOTH,"Fang"
EYETOOTH,"Fang, really"
EYETOOTH,"Kind of canine"
EYETOOTH,"Sharp canine"
EYETOOTH,"Type of canine"
EYETOOTH,"Upper canine"
EYETUNES,"""Jeepers Creepers"" and others?"
EYETUNES,"""The Look of Love"" and ""Suddenly I See,"" e.g.?"
EYITNESS,"One at a crime scene"
EZDOESIT,"""Relax!"""
EZSTREET,"*Life of Riley"
FABULIST,"Aesop, e.g."
FABULIST,"Aesop, notably"
FABULIST,"Liar"
FABULIST,"Lying sort"
FABULOUS,"""How's life in the fast lane, ___?"""
FABULOUS,"Extremely pleasing"
FABULOUS,"Second part"
FABULOUS,"Terrific"
FACEBOOK,"Alternative to Friendster or MySpace"
FACEBOOK,"Place to befriend or be friended"
FACECARD,"Jack, for one"
FACECARD,"King or queen"
FACECARD,"Queen of hearts, e.g."
FACEDOFF,"Met as rivals"
FACEDOFF,"Started an N.H.L.game"
FACEDOUT,"Had a visible front"
FACEDOUT,"Wasn't turned inward"
FACEDOWN,"How cards are usually dealt"
FACEDOWN,"How most hands are dealt"
FACEDOWN,"How your hand is dealt"
FACELESS,"Anonymous"
FACELIFT,"Cosmetic fix"
FACELIFT,"Hollywood procedure"
FACELIFT,"Makeover"
FACELIFT,"Modernization"
FACELIFT,"Mug makeover"
FACELIFT,"Mug tightening"
FACELIFT,"Press term, car model's minor restyling"
FACELIFT,"Refreshing experience?"
FACELIFT,"Renovation"
FACELIFT,"Renovation of a sort"
FACELIFT,"Superficial fix"
FACELIFT,"What may improve an actor's lines?"
FACELIFT,"Work in Hollywood?"
FACELIFT,"Wrinkle remover, in fact, raised line (8)"
FACEMASK,"""Friday the 13th"" prop"
FACEMASK,"Football penalty"
FACEMASK,"Football player's protection"
FACEMASK,"Goalie's need"
FACEMASK,"Mug cover"
FACEMASK,"Part of a catcher's 'tools of ignorance'"
FACEMASK,"Snorkel's companion"
FACEOFFS,"NHL starters?"
FACEOFFS,"Showdowns"
FACEOFFS,"Starts of some sporting events"
FACEPALM,"Act of exasperation, in modern-day slang"
FACEQOFF,"1997 identity-switch movie with John Travolta and Nicolas Cage"
FACERUIN,"Come to grips with impending bankruptcy, e.g."
FACETIME,"Apple alternative to Skype"
FACETIME,"Brief meeting with someone in person"
FACETIME,"Business meetings, e.g."
FACETIME,"Camera hog's concern"
FACETIME,"Have the possibility of going to jail"
FACETIME,"One-on-one meeting, informally"
FACETIME,"TV appearance"
FACEUPTO,"Deal with"
FACEUPTO,"Take responsibility for"
FACEWEST,"Turn toward sunset"
FACINGIT,"Coping"
FACINGIT,"Not running away from a challenge"
FACLHAIR,"Part of some disguises"
FACTIONS,"Cliques"
FACTIOUS,"Causing dissension"
FACTORED,"Broken down"
FACTORIN,"Account for"
FACTORIN,"Allow for"
FACTORIN,"Consider, as a forecast variable"
FACTOTUM,"Do-all"
FACTOTUM,"Do-all assistant"
FACTOTUM,"Mr. Do-All"
FADDIETS,"South Beach and others"
FADDIETS,"Trendy weight-loss plans"
FADEAWAY,"Backward-moving basketball shot"
FADEAWAY,"Evanesce"
FADEAWAY,"Fallback jump shot"
FADEAWAY,"Type of basketball shot"
FADEAWAY,"Type of jump shot"
FADEBACK,"Prepare to pass, maybe"
FADEINTO,"Be swallowed by, as mist"
FADEOUTS,"Cinematic techniques"
FADEOUTS,"Some movie transitions"
FADESOUT,"Slowly disappears"
FAELWENA,"Turned over a new leaf?"
FAEROESE,"Thorshavn natives"
FAILEDAT,"Didn't succeed in"
FAILEDAT,"Had no luck with"
FAILINGS,"Faults"
FAILINGS,"Personal faults"
FAILSAFE,"1964 Sidney Lumet drama"
FAILSAFE,"Doomsday film of 1964"
FAILSAFE,"Foolproof"
FAILSAFE,"Guaranteed"
FAILSAFE,"Guaranteed to succeed"
FAILSAFE,"Guaranteed to work"
FAILURES,"Lacks of success"
FAINEANT,"Idle"
FAINTEST,"Glad to examine the most timid (8)"
FAINTEST,"Least, as an inkling"
FAINTEST,"Most indistinct"
FAIRANDS,"Sans dirty tricks"
FAIRBALL,"Hit on the line, e.g."
FAIRBALL,"It's in play"
FAIRBALL,"So-so formal dance?"
FAIRDEAL,"Truman initiative"
FAIRDEAL,"Truman platform"
FAIRDEAL,"Truman policy"
FAIRDEAL,"Truman program"
FAIRDEAL,"Truman's domestic program"
FAIRDEAL,"Truman's proposal"
FAIRGAME,"A legitimate object of attack"
FAIRGAME,"It's open to attack"
FAIRGAME,"Legitimate target"
FAIRGAME,"Okay to mock"
FAIRGAME,"Reasonable target"
FAIRGAME,"Suitable target"
FAIRHAIR,"Blondness"
FAIRISLE,"Kind of patterned sweater"
FAIRISLE,"Kind of patterned sweatshirt"
FAIRISLE,"Kind of sweater"
FAIRLADY,"Knightly address to a damsel"
FAIRLANE,"Ford model, '70 was final year"
FAIRLEAD,"Nautical pulley"
FAIRMONT,"Old Ford car model"
FAIRNESS,"Equity"
FAIRNESS,"Impartiality"
FAIRPLAY,"*Model behavior on the field"
FAIRPLAY,"Conformity to the rules"
FAIRPLAY,"Crazy pair inside strip, in conformity to the rules (4,4)"
FAIRPLAY,"Following the rules, magical creature holds back mountain (4,4)"
FAIRPLAY,"Good sportsmanship"
FAIRPLAY,"Honorable conduct"
FAIRPLAY,"Referee's demand"
FAIRPLAY,"Referees ensure it"
FAIRPLAY,"Turnabout, they say"
FAIRPLAY,"What umpires ensure"
FAIRTALE,"Unbiased account?"
FAIRWAYS,"Driving areas"
FAIRWAYS,"Rough dividers"
FAITHFUL,"True to one's word"
FAKEBOOK,"Wannabe musician's resource"
FAKEDOUT,"Eluded using deception"
FAKEDOUT,"Misled"
FAKEDOUT,"Successfully misled"
FAKEDOUT,"Tricked"
FAKEOUTS,"Deceptions"
FAKERIES,"Ersatz art"
FAKESOUT,"Misleads"
FAKESOUT,"Tricks"
FAKETANG,"Ersatz space drink?"
FAKINGIT,"Acting"
FALCONER,"Cheever novel set in a prison"
FALCONER,"Hawk trainer"
FALCONER,"Hunter with a hawk"
FALCONER,"One who trains hawks for hunting"
FALCONER,"Raptor trainer"
FALCONET,"Small hawk relative"
FALCONRY,"Hawking"
FALCONRY,"Sport involving birds"
FALDERAL,"Blather"
FALDERAL,"Mere nonsense (var.)"
FALDERAL,"Nonsense: Var."
FALLBACK,"Retreat"
FALLDOWN,"Collapse"
FALLDOWN,"Perform disappointingly"
FALLDOWN,"Take a tumble"
FALLENTO,"(Had) become the job of"
FALLFLAT,"Bomb, as a joke"
FALLFLAT,"Fail miserably"
FALLIBLE,"Not perfect"
FALLIBLY,"In an imperfect way"
FALLINTO,"Develop, as a habit"
FALLLINE,"Highland/lowland separator"
FALLLINE,"Upland/lowland separator"
FALLOPEN,"Come undone, as a robe"
FALLSFOR,"Becomes enamored by"
FALLSFOR,"Becomes smitten by"
FALLSFOR,"Is smitten by"
FALLSFOR,"Swallows, as snake oil"
FALLSFOR,"Takes the bait"
FALLSOFF,"Declines"
FALLTERM,"School-year segment"
FALLUPON,"Become the duty of"
FALMOUTH,"Cape Cod town"
FALSECUT,"Card mechanic's sleight"
FALSECUT,"Cardsharp's sleight"
FALSEGOD,"Idol"
FALSEHOD,"What border guards watch for on a truck?"
FALSETTO,"...and so is this"
FALSETTO,"Artificial high voice"
FALSETTO,"Artificially high voice"
FALSETTO,"Barry Gibb's is famous"
FALSETTO,"Certain doo-wopper"
FALSETTO,"Doo-wop era feature"
FALSETTO,"Doo-wop song high voice"
FALSETTO,"Frankie Valli's 4 Seasons singing style"
FALSETTO,"Frankie Valli's voice"
FALSETTO,"High part"
FALSETTO,"High tenor"
FALSETTO,"How Tiny Tim sang"
FALSETTO,"Kind of singing voice"
FALSETTO,"Male alto"
FALSETTO,"Novelty singing feature"
FALSETTO,"Register for Tiny Tim"
FALSETTO,"Something funny to sing in"
FALSETTO,"Something to sing in"
FALSETTO,"Tiny Tim sang in it"
FALSETTO,"Tiny Tim was one"
FALSETTO,"Tiny Tim, e.g."
FALSETTO,"Tiny Tim, for one"
FALSETTO,"Unnatural high"
FALSETTO,"Unnaturally high voice"
FALSETTO,"Valli's vocal style"
FALSETTO,"Yodeler's range"
FALSTAFF,"""Henry IV"" role"
FALSTAFF,"1893 Verdi opera"
FALSTAFF,"Boar's Head Tavern habitue"
FALSTAFF,"Friend of Prince Henry"
FALSTAFF,"Last Verdi opera"
FALSTAFF,"Plump knight in Shakespeare plays"
FALSTAFF,"Prince Hal's fat, jolly companion"
FALSTAFF,"Verdi opera based on a Shakespearean character"
FALTERED,"Gave way"
FALTERED,"Hesitated"
FALTERED,"Moved unsteadily"
FALTERED,"Stumbled"
FALTERED,"Thought twice"
FALTERED,"Took a trip"
FAMILIAL,"Hereditary"
FAMILIAL,"In a line?"
FAMILIAL,"Of the household"
FAMILIAR,"Acquainted"
FAMILIAR,"Attendant spirit"
FAMILIAR,"Commonly known"
FAMILIAR,"Recognizable"
FAMILIAR,"Ringing a bell?"
FAMISHED,"Hungry"
FAMISHED,"Like one who ""could eat a horse"""
FAMISHED,"Starving"
FAMISHED,"Very hungry"
FAMISHED,"Very hungry Plain People inside given food (8)"
FAMISHES,"Starves"
FAMOUMOS,"Cookie name"
FAMOUSLY,"In a renowned manner"
FANATICS,"Fiends"
FANATICS,"Militants"
FANATICS,"Zealous devotees"
FANBELTS,"Cooling system connectors"
FANCIERS,"Enthusiasts"
FANCIERS,"Lovers"
FANCIERS,"Persons of interest?"
FANCYDAN,"Clever boxer with little power"
FANDANCE,"Burlesque act"
FANDANCE,"Burlesque routine"
FANDANCE,"Ecdysiast offering"
FANDANCE,"Element of old burlesque strip teases"
FANDANCE,"Sally Rand trademark"
FANDANCE,"Touchdown celebration?"
FANDANGO,"Dance with castanets"
FANDANGO,"Lively Spanish dance"
FANDANGO,"Lively Spanish music, or its dance"
FANDANGO,"Spanish dance"
FANDELTA,"Alluvial deposit of a stream"
FANFARES,"Royal introductions"
FANFARES,"Trumpeted flourishes"
FANFOLDS,"Accordion files"
FANGBITE,"Impression of Count Dracula?"
FANGGANG,"Vampire group?"
FANGLIKE,"Long and sharply pointed"
FANLIGHT,"Half-circle window over a door"
FANSITES,"Modern places for groups of groupies"
FANTAILS,"Certain pigeons"
FANTAILS,"Devotee followers?"
FANTAILS,"Domestic pigeons"
FANTASIA,"1940 Disney classic"
FANTASIA,"1940 Disney film"
FANTASIA,"1940 Disney musical"
FANTASIA,"1940/2000 Disney film"
FANTASIA,"Chopin piece"
FANTASIA,"Classic Disney film that includes ""The Nutcracker Suite"""
FANTASIA,"Classic film with dancing hippos"
FANTASIA,"Disney classic"
FANTASIA,"Disney classic of 1940"
FANTASIA,"Disney film"
FANTASIA,"Disney film first called ""The Concert Feature"""
FANTASIA,"Disney film with the Philadelphia Orchestra"
FANTASIA,"Disney musical"
FANTASIA,"Disney musical classic"
FANTASIA,"Disney musical film"
FANTASIA,"Free-form composition"
FANTASIA,"Ground-breaking Disney cartoon of 1940"
FANTASIA,"Imaginative composition"
FANTASIA,"Movie with dancing brooms"
FANTASIA,"Pioneering film of 1940"
FANTASTS,"Visionaries"
FANZINES,"Devotees' reads"
FANZINES,"Some desktop publications"
FANZINES,"Where to see your idols, often"
FARADAYS,"Electrolysis units"
