AARONCOPLAND,"""A Lincoln Portrait"" composer"
BLOCKBLUSTER,"Company that caters to bombastic city planners?"
BLOCKINGCHOP,"Defensive karate move?"
BLOCKLETTERS,"Features of many signs"
BLOCKLETTERS,"They're plainly drawn"
BLOGGERLAGER,"Intoxicant discussed online?"
BLOODANDBUSH,"Graphic violence"
BLOODDIAMOND,"2006 DiCaprio film about a gem smuggler"
BLOODRELATED,"Like kinfolk"
BLOODYMURDER,"Group of wounded crows?"
BLOTTEDWATER,"Cleaned up after a spill?"
BLOWAWHISTLE,"Squeal"
BLOWAWHISTLE,"Tattle"
BLOWOFFSTEAM,"Vent"
BLOWSTWOBITS,"Wastes a quarter?"
BLOWTHEJOINT,"Go"
BLOWTHEMANUP,"Solution to any plot problem, Hollywood-style?"
BLOWWIDEOPEN,"Break in a big way"
BLUBBERPECAN,"Flavor that's too fatty?"
BLUEEYEDSOUL,"Genre for The Rascals and Boz Scaggs"
BLUEEYEDSOUL,"Righteous Brothers' musical style"
BLUEEYEDSOUL,"The Righteous Brothers, Van Morrison, Dusty Springfield"
BLUEHAWAIIII,"Elvis movie sequel?"
BLUEMANGROUP,"Avant-garde performers featured in an Intel ad campaign"
BLUEMANGROUP,"Colorful stage performers since 1987"
BLUEMANGROUP,"Unusually chromatic performance ensemble"
BLUEMOONBEEP,"Rare time you might hit the horn?"
BLUEMOUNTAIN,"Jamaican coffee's bridal offering?"
BLUEMOUNTAIN,"Jamaican peak"
BLUEREDPROSE,"Primary form of writing that's ornate?"
BLUESERGEANT,"Unhappy noncom?"
BLUESMANKING,"B B"
BLUEWIDEGIRL,"Waddling Smurfette?"
BLUMEDOLPHIN,"Mammal that's trained by the author of ""Superfudge""?"
BLUNTISSHARP,"Comment about well-dressed pop singer James?"
BLUSHINGCROW,"Coup de grace?"
BLYTHESPIRIT,"Presidential biography by Noel Coward?"
BMARKMYWORDS,"Egotistical author's request to a reader?"
BNCOMPANIONS,"Drinking buddies, maybe"
BOARDERGUARD,"Inn patron's companion?"
BOARDINGGATE,"Kennel scandal?"
BOARDINGPASS,"""Hey, babe, wanna sit with me on the plane?"""
BOARDINGPASS,"*Flying need"
BOARDINGPASS,"Airline entree?"
BOARDINGPASS,"Conductor's come-on?"
BOARDINGPASS,"Flight attendant's request"
BOARDINGPASS,"Get on with it"
BOARDINGPASS,"It's shown at the airport"
BOARDINGPASS,"Request at the gate"
BOARDINGPASS,"Ticket to fly"
BOARDINGRAMP,"Step on it"
BOARDMEETING,"Surfers' reunion?"
BOARDMEETING,"Trustees' get-together"
BOARDMEETING,"What have the mortise and tenon contributed to business culture?"
BOARDMEMBERS,"Directors at the construction site?"
BOARDSATRAIN,"Climbs onto the railroad car"
BOARISBECKER,"Squealing tennis player?"
BOBBSEYTWINS,"B2B opportunity for juvenile readers?"
BOBBSEYTWINS,"Fictional duo created in 1904"
BOBBYALLISON,"Racer Donnie's brother"
BOBBYDEAREST,"Loving phrase for a British policeman?"
BOBBYFISCHER,"Boris Spassky's 1992 opponent"
BOBBYFISCHER,"Chess king?"
BOBBYFISCHER,"World champion, 1972-75"
BOBBYKENNEDY,"U.S. Attorney General from 1961-1964"
BOBBYSHAFTOE,"Sea-faring lad"
BOBBYSHERMAN,"1960's-70's pop singer/actor"
BOBFORAPPLES,"Denver pushing McIntoshes?"
BOBFORAPPLES,"English green-grocer's sign?"
BOBFORAPPLES,"Have some Halloween fun"
BOBFORAPPLES,"Obtain fruit with mouth only?"
BOBFORAPPLES,"Participate in a Halloween game"
BOBPATTERSON,"Title character of a failed Jason Alexander sitcom"
BOBSAPPLEPIE,"Most popular dessert at Dylan's Diner?"
BOBSLEDRACES,"Olympic events"
BOBSLEDTEAMS,"Some Winter Olympians"
BODICERIPPER,"Sexy modern Gothic novel, informally"
BODYBUILDING,"Type of fitness training"
BODYBUILDING,"Where to get a full physical?"
BODYBUSINESS,"Health club?"
BODYLANGUAGE,"Chop shop talk?"
BODYLANGUAGE,"It's spoken in chop shops?"
BODYLANGUAGE,"Poet Thomas seen in gestures?"
BODYSTOCKING,"Chop shop worker's inVestment of the 1960s?"
BOEINGBOEING,"1965 Tony Curtis-Jerry Lewis farce"
BOEINGBOEING,"1965 farce starring Tony Curtis and Jerry Lewis"
BOHREINSTEIN,"Twosome that debated quantum mechanics at the Solvay Conference"
BOILEDCHANGE,"Disinfected coins?"
BOILERBOILER,"Kitchen device made from two saucepans, literally"
BOILERMAKERS,"Drinks for metalworkers?"
BOILINGBLOOD,"Fury"
BOILINGPOINT,"BP, to a chemist"
BOILINGPOINT,"When a situation becomes critical"
BOILINGWATER,"*What you drop uncooked spaghetti or a tea bag into"
BOILINGWATER,"Stovetop bubbler"
BOLDFACEDLIE,"Clear falsehood"
BOLTONPUBLIC,"Michael's audience?"
BOMBAYSCOUTS,"Ones seeking locations for Bollywood movies?"
BOMBERJACKET,"Bad stand-up comic's inVestment of the 1940s?"
BONBONBOOBOO,"Confectioner's goof?"
BONBONVOYAGE,"Chocolate's journey?"
BONBONVOYAGE,"Journey for a chocolate?"
BONEHANDLING,"Prowess of an orthopedic surgeon?"
BONELESSRIBS,"Meaty dish"
BONERSMANUAL,"""Bungling for Dummies,"" e.g.?"
BONGOVIVANTS,"Fun-loving percussionists?"
BONJOURDOLLY,"Musical avec Barbra Streisand"
BONNETVOYAGE,"Trip taken by a hat from milliner to owner?"
BONNIEPARKER,"Outlaw played by Faye Dunaway"
BONNIEWRAITH,"Scary singer?"
BONNIEWRAITH,"Singer in a vaporous costume?"
BOOBERRYHILL,"Fats Domino Halloween tune?"
BOOGIENIGHTS,"Acclaimed 1997 drama named for a #2 hit of 1977"
BOOGIEWOOGIE,"Jazz piano music style"
BOOGIEWOOGIE,"Jazz-piano music style"
BOOGIEWOOGIE,"Up-tempo jazz piano style"
BOOINGSTRAIT,"Narrow passage where catcalls are heard?"
BOOKFMATCHES,"Lighter alternative"
BOOKIENIGHTS,"Movie about after-dark activities of people who deal with gamblers?"
BOOKOFDANIEL,"Doctorow work, with ""The"""
BOOKOFMORMON,"Joseph Smith discovery"
BOOKOFMORMON,"Joseph Smith's revelation"
BOOKOFMORMON,"Sacred text first published in 1830"
BOOKPROPOSAL,"""Write me"""
BOOKREVIEWER,"Critic of a new novel"
BOOKSTALLONE,"Run in Rambo after a run-in?"
BOOKSTHECOOK,"What a CPA does for a catered event?"
BOOKTHECOOKS,"Hire a caterer?"
BOOMINGIDIOT,"Not-so-bright human cannonball?"
BOOMOPERATOR,"Job mistakenly sought by a demolitionist?"
BOOSTERCHAIR,"Toddler's mealtime accessory"
BOOTIEPARLOR,"Where to buy shoes for a baby?"
BORDENPASSES,"Ax-wiedler's permits to enplane?"
BORDERCOLLIE,"Herder's helper"
BOREDMASTIFF,"Dog without much to do?"
BOREDOFROSES,"Like florists by the end of Valentine's Day?"
BOREDOFTRADE,"A stockbroker is never ___"
BORINGGLOVES,"Monotonous mitts?"
BORISBADENOV,"Bullwinkle's nemesis"
BORISBADENOV,"Moose hunter"
BORISBADENOV,"Spy from Pottsylvania"
BORISKARLOFF,"""Bride of Frankenstein"" actor"
BORISKARLOFF,"""Juggernaut"" star who wraps about a crapshoot?"
BORISKARLOFF,"The Monster in ""Bride of Frankenstein"""
BORISKARLOFF,"Voice of the Grinch"
BORNEORUBBLE,"Fred Flintstone's pal?"
BORNETWOLOOS,"Transported a couple of Porta-Potties?"
BORNINATRUNK,"Like a lifelong vaudevillian"
BORNINATRUNK,"Raised by actors, perhaps"
BORNINEASTLA,"Cheech Marin parody of a Bruce Springsteen song"
BORNINEASTLA,"Cheech Marin south-of-the-border comedy"
BORNINTHEUSA,"1984 Bruce Springsteen hit"
BORNINTHEUSA,"Reagan campaign song of 1984"
BORNINTHEUSA,"Springsteen song used (and misunderstood) by Reagan in 1984"
BORNINTHEUSA,"Springsteen tune used as a campaign song by Ronald Reagan, who misunderstood its message"
BORNRECENTLY,"UOTC remake of a Judy Holliday film?"
BORNTOBEMILD,"Biography of a pussycat?"
BORONBATTERY,"Energy cell?"
BORROWEDTIME,"A daredevil may be living on this"
BORROWEDTIME,"Dangerous thing to be living on"
BORROWEDTIME,"Daredevils may live on it"
BORROWEDTIME,"Extra life"
BORROWEDTIME,"Period postponing the inevitable"
BORROWEDTIME,"Rolex's bridal contribution?"
BORROWEDTIME,"Something to live on, if you're lucky"
BORROWEDTIME,"Temporary reprieve"
BOSOMBUDDIES,"Hanks sitcom"
BOSOMBUDGIES,"Show about cross-dressing birds?"
BOSTONCOMMON,"First public park in North America"
BOSTONCOMMON,"Starting point of the Freedom Trail"
BOSTONGARDEN,"FleetCenter predecessor"
BOSTONPUBLIC,"2000s high school drama"
BOSTONREDFOX,"Baseball team with a vulpine mascot?"
BOSTONREDSOX,"2004 World Series winners"
BOSTONREDSOX,"Dream participant in the 2003 World Series..."
BOSTONREDSOX,"Fenway Park ball club"
BOTANICALPOD,"Whales in the gardening club? (Captain Blood ""reformed"")"
BOTCHCASSIDY,"Clumsy ""Robin Hood of the West""?"
BOTHISDENTAL,"End of quip"
BOTHPASTAAND,"Musing, part 2"
BOTHSIDESNOW,"Mitchell song that ends ""I really don't know life at all"""
BOTTLEOFBEER,"One of a musical 99"
BOTTLEOFWINE,"Fireballs hit"
BOTTLEOFYALE,"Flask used in an Ivy League chem lab?"
BOTTLEOPENER,"Beer drinker's gadget"
BOTTLEOPENER,"Church key"
BOTTLEOPENER,"Old soda machine feature"
BOTTLEOPENER,"Vintage soda machine feature"
BOTTLEROCKET,"Homemade firework"
BOTTLEROCKET,"It's launched at summer camp"
BOTTOMDOLLAR,"Confident one's bet"
BOTTOMDOLLAR,"Lowest amount offered"
BOTTOMDOLLAR,"Money that may be ""bet"""
BOTTOMDRAWER,"Artist specializing in nudes?"
BOTTOMDRAWER,"Least gifted sketch artist in class?"
BOTTOMDRAWER,"Place for keepsakes, perhaps"
BOTTOMFEEDER,"Catfish, e.g."
BOTTOMFELINE,"Lowest cat on the totem pole?"
BOTTOMGRUNGE,"Barrel dregs?"
BOTTOMTOMTOM,"Drum that's under all the others?"
BOUGHSOFHLLY,"Yule decorations"
BOUILLONAIRE,"Soup tycoon?"
BOUILLONCUBE,"Broth shortcut"
BOUILLONCUBE,"Broth-making aid"
BOUILLONCUBE,"Dehydrated food product"
BOULDERCOLOR,"Gray?"
BOULEZPULPIT,"Venue for promoting avant-garde music?"
BOUNCEDCZECH,"Prague exile"
BOUNCINGBALL,"Something followed on a screen"
BOUNDINGMAIN,"Open ocean"
BOUNDINGMAIN,"Sea, in a classic sailing song"
BOUNDINGMAIN,"The sea, in song"
BOUNDVOLUMES,"Pintquart"
BOUNTYHUNTER,"Boba Fett, e.g."
BOURBONSTACK,"Pileup of Wild Turkey?"
BOUTFORASONG,"Low cost pay-per-view match?"
BOUTIQUECALL,"Dialing up an expensive shop?"
BOUTOFAFRICA,"Film about Ali/Foreman's Rumble in the Jungle?"
BOUTROSGHALI,"U.N. Secretary General succeeded by Annan"
BOWANDARROWS,"Classic matchmaking equipment?"
BOWANDDARROW,"Noted lawyer with the ""It"" Girl?"
BOWANDDARROW,"Old Clara-Clarence romance?"
BOWANDSCRAPE,"Be polite to a fault"
BOWANDSCRAPE,"Grovel"
BOWANDSCRAPE,"To really need some rosin?"
BOWANDSCRAPE,"Two features of interest on the sunken Titanic?"
BOWANDSCRAPE,"What violinists might have to do if rosin didn't exist?"
BOWLEGWEBLOG,"Horse rider's online diary?"
BOWLINGALLEY,"Bad place for a split"
BOWLINGALLEY,"In a ___, many a ___ is rolled"
BOWLINGALLEY,"Strike home?"
BOWLINGALLEY,"Strike setting"
BOWLINGALLEY,"Strike zone?"
BOWLINGALLEY,"Tarzan's response to, ""Hey, where do they keep the sugar on this ship?"""
BOWLINGALLEY,"Where it's good to strike out"
BOWLINGALLEY,"Where the ship's cook keeps his sugar?"
BOWLINGBALLS,"THEME ENTRY"
BOWLINGGREEN,"Colorful location in Kentucky"
BOWLINGGREEN,"Confederate capital of Kentucky"
BOWLINGGREEN,"Money wagered at the alley?"
BOWLINGGREEN,"Ohio university or town"
BOWLINGGREEN,"Prize for a 300?"
BOWLINGPINUP,"Alley wall hanging?"
BOWLINGSCORE,"Strike"
BOWLOFYELLOW,"Banana ice cream?"
BOXIERSHORTS,"SpongeBob SquarePants's pants, compared to Humpty Dumpty's?"
BOXINGCLOVES,"Task for garlic exporters?"
BOXINGGLOVES,"Everlast battery pair"
BOXINGGLOVES,"Hand holders in the ring?"
BOXINGGLOVES,"They hold hands"
BOXINGROUNDS,"Three-minute periods (or what this puzzle is doing)"
BOXOFCRAYONS,"Back-to-school item"
BOXOFCRAYONS,"Elementary school student's item"
BOXOFCRAYONS,"Kindergartener's supply"
BOXOFFICEHIT,"Smash"
BOXTOPTURTLE,"Mail-in for a toy ninja?"
BOYMEETSGIRL,"Start of a traditional love story"
BOYSCOUTRANK,"Eagle"
BOYSNIGHTOUT,"Timothy B. Schmit song that soared to #25 in 1987"
BOYSOFSOMMER,"Actress's sons"
BOYSOFSUMMER,"Donna's sons"
BOYZNTHEHOOD,"1991 movie starring Angela Bassett and Ice Cube"
BOYZNTHEHOOD,"Cuba Gooding Jr. film set in a ghetto"
BOZOTHECLOWN,"*‡(:o)}"
BOZOTHECLOWN,"Frizzy-haired toon buffoon"
BOZOTHECLOWN,"His friends joined him under the Big Top"
BRAHMSSTOKER,"One who encouraged the composer of ""Hungarian Dances""?"
BRAIDSTATION,"Salon specialty area?"
BRAINTRUSSED,"Tied-up Mensa member?"
BRAINYBINARY,"Smart computer system?"
BRANCHOFFICE,"Local division"
BRANCHOFFICE,"Satellite operation"
BRANCHRICKEY,"Dodger exec who signed Jackie Robinson in 1947"
BRANDLOYALTY,"New-car selection factor, frequently (5,7)"
BRANDOMUFFIN,"""The Godfather"" actor's breakfast?"
BRANDONROUTH,"""Superman Returns"" star"
BRANDSPANKIN,"Something new?"
BRANIFFBEALE,"Superman, renamed?"
BRASHMONKEYS,"Assertive simians?"
BRASSSECTION,"Big-band feature"
BRASSSECTION,"Orchestral division"
BRASSSECTION,"Stan Kenton band feature"
BRASSSECTION,"Trumpets, tubas, etc."
BRASSSECTION,"Where to toot one's own horn?"
BRAVEMARINER,"Magellan, e.g."
BRAVENEWWORD,"Aldous Huxley's etymology textbook?"
BRAVENEWWORD,"Neologism that saves the day?"
BRAVENUWORLD,"Huxley novel written for the 2004 Olympics?"
BRAVEREVIEWS,"Atlanta critiques?"
BRAVEREVIEWS,"Critiques of Atlanta ball games?"
BRAVETHECODE,"Dare to solve a hard cryptogram?"
BRAZILIANWAX,"Salon treatment for thong wearers"
BRAZILIANWAX,"Spa treatment #2"
BREADBASKETS,"Stomachs, slangily"
BREADFELLOWS,"Guys who love white and wheat?"
BREADINITALY,"Pane"
BREADMACHINE,"Money maker?"
BREADPUDDING,"Starchy dessert"
BREAKDANCING,"Fight on the floor?"
BREAKDANCING,"It might be done to ""Rapper's Delight"""
BREAKFASTBAR,"On-the-go morning snack"
BREAKFASTTEA,"Morning brew*"
BREAKINGGNUS,"Taming wildebeests?"
BREAKINGNEWS,"Program interruption"
BREAKINGNEWS,"Soap interruption?"
BREAKSTHETIE,"Gets a party going"
BREAKTHEBANK,"Bert Parks quiz show"
BREAKTHEBANK,"Hit the jackpot"
BREAKTHEBANK,"Win more than a jackpot"
BREAKTHECURS,"Tame some mean dogs?"
BREAKTHENEWS,"Report, as a significant event"
BREAKTHENEWS,"Reveal for the first time"
BREAKTHEVISE,"Snap a tool?"
BREAKTHROUGH,"Good for a scientist, bad for a roofer"
BREAKTHROUGH,"Make a sudden advance"
BREAKTHROUGH,"Sudden advance, as in science"
BREASTBASTER,"Turkey moistener?"
BREASTBEATER,"Demonstrative squawker"
BREASTBEATER,"Emotional all-talk-no-action type"
BREASTBEATER,"Noisy griper"
BREASTOFEDEN,"Genesis chicken serving?"
BREASTPOCKET,"It's close to your heart"
BREASTPOCKET,"Place for a wallet, maybe"
BREASTSTROKE,"Butterfly relative"
BREASTSTROKE,"Crawl alternative"
BREATHALYZER,"*Highway patrol device once trademarked by Smith and Wesson"
BREATHALYZER,"Sobriety tester at the cop shop"
BREATHTAKING,"""<Gasp>"""
BREATHTAKING,"Spectacular"
BREATHTAKING,"Thrillingly beautiful"
BREEDERSCOOP,"Hatchery hutch?"
BRENDAKSTARR,"She sang the 1988 hit ""I Still Believe"""
BRESTREGARDS,"Cheers in Brittany?"
BREWCALENDAR,"Schedule for a Budweiser plant?"
BREWERSYEATS,"Verses from ""The Happy Townland"" engraved on a beer vat?"
BREWLANGUAGE,"Barley, hops, and yeast?"
BREYERRABBIT,"Prop for a Justice moonlighting as a magician?"
BRIANEPSTEIN,"Manager who was the son of a Liverpool furniture store owner"
BRIANPICCOLO,"1971 TV movie role for James Caan"
BRIANPICCOLO,"Ill-fated Gale Sayers teammate"
BRIANPICCOLO,"James Caan role"
BRIANSBRAINS,"DePalma's intelligence"
BRIDALSHOERS,"Nuptial cobblers?"
BRIDALSHOWER,"Plumber's concern in the honeymoon suite?"
BRIDEOFSIGHS,"Woman clearly weary from all the wedding prep?"
BRIDEYMURPHY,"Subject of a 1956 film ""search"""
BRIDGEBRIDGE,"Tournament card game, literally"
BRIDGEOFPSIS,"Venetian tourist site built for the 2004 Olympics?"
BRIDGEREPAIR,"Road engineer's job"
BRIDGETFONDA,"""Single White Female"" star"
BRIDGETFONDA,"Actress in 1997's ""Jackie Brown""*"
BRIDGETHEGAP,"Serve as a temporary fix"
BRIDGETJONES,"Diary writer of film"
BRIDGETJONES,"Fictional diary writer"
BRIEFBISCUIT,"Relative of shortbread?"
BRIEFOUTLINE,"Good for an attorney, bad for a Spandex model"
BRIEFOUTLINE,"Thumbnail sketch"
BRIEFSUMMARY,"Synopsis, redundantly"
BRIGBUILDING,"Military prison?"
BRIGHAMYOUNG,"First governor of Utah"
BRIGHAMYOUNG,"Salt Lake City pioneer"
BRIGHTBANGLE,"Wrist accessory that sparkles?"
BRIGHTFUTURE,"Good thing to look forward to"
BRIGHTLIGHTS,"Big-city allure"
BRIGHTLIGHTS,"Broadway trademark"
BRIGITTEBARD,"Marilyn Monroe contemporary"
BRILLIANTCUT,"58-facet gem design"
BRILLIANTCUT,"Intelligent salon offering?"
BRILLOBILLOW,"Surging mass of scouring pads?"
BRILLOFIGHTS,"What may break out when kids scour the dishes?"
BRINGAGAINST,"Serve with, as charges"
BRINGTOBAYER,"Present at the offices of a drug company?"
BRINGTOTERMS,"BEND"
BRINGYOUROWN,"""Oh, don't forget, ___"""
BRISKTRADING,"Market activity, in winter business"
BRISTOLCREAM,"What one of Sarah Palin's kids puts in her coffee?"
BRISTOLMIRES,"Pharmaceutical company that's bogged down?"
BRITAINBEACH,"Place where blokes and birds sun?"
BRITISHCROWN,"Buckingham Palace dental work?"
BRITISHHUMOR,"Monty Python feature"
BRITISHISLES,"Archipelago of western Europe"
BRITISHKINGS,"Title characters in Shakespeare's history plays, e.g."
BRITISHMONEY,"POUND"
BRITISHPOUND,"United Kingdom currency"
BRITISHSHILL,"Plant at Sotheby's?"
BRITMAVERICK,"Character in a BBC produced Western series?"
BROADBOVINES,"Hefty heifers? (Boris Badenov ""reformed"")"
BROADCASTING,"*On the air"
BROADCHESTED,"Manly physique"
BROADLYBASTE,"Sew fast/loose?"
BROADMISSION,"Wide-ranging task?"
BROADSTRIPES,"Our standard features thirteen"
BROADSTRIPES,"Pattern of the day"
BROADWARRIOR,"Sumo wrestler?"
BROADWAYFLOP,"TURKEY"
BROADWAYFLOP,"Turkey"
BROADWAYPLAY,"Candidate for a Tony"
BROCCOLIRABE,"Bitter-tasting vegetable"
BROCCOLITOPS,"Dipped appetizer"
BROKEARECORD,"A for Pete Rose; F for a disk jockey"
BROKENDREAMS,"Shattered hopes"
BROKENHEARTH,"Fireplace in need of repair?"
BROKENHEARTS,"Artichoke grower's woe?"
BROKENHEARTS,"Cases for the love doctor"
BROKENMIRROR,"Bad luck bringer?"
BROKENMIRROR,"Bad luck omen"
BROKENMIRROR,"It brings bad luck?"
BROKENRECORD,"""You can say that again"" addressee -- not!"
BROKENRECORD,"Good news for an Olympic athlete, bad news for a disc jockey"
BROKENRECORD,"It keeps playing over and over"
BROKENRECORD,"Metaphor for annoying repetition"
BROKERDEALER,"Company that trades securities for customers and for itself"
BROKERRABBIT,"Uncle Remus' market maven?"
BROMOSELTZER,"Old antacid name involving a German wine region?"
BRONCOBUSTER,"Horse tamer"
BRONXBOMBERS,"Big Apple team"
BROOKSHIELDS,"Protection for a stream?"
BROOKSONTAPE,"Mel reading his own bio?"
BROOMSERVICE,"Sweeping saga starring the Marx Brothers?"
BROOMSERVICE,"Tuneup for a Halloween conveyance?"
BROOMSTICKUM,"Stuff that gives a janitor a better grip?"
BROOMTOSPARE,"Janitor's extra?"
BROTHERINLAW,"'How come you know so much about the courts, Tarzan?'"
BROTHERINLAW,"Relative by marriage"
BROWBEATINGS,"Repeated harrassments"
BROWNEDROBIN,"Bird with a tan?"
BROWNIEPOINT,"Credit for good behavior"
BROWNIEPOINT,"Credit of a sort"
BROWNIEPOINT,"Sycophant's reward"
BROWNMUSTARD,"Spicy condiment"
BROWNRECLUSE,"NFLer's hermit?"
BRUCEBABBITT,"Bill Clinton's Interior Secretary"
BRUCEVILANCH,"Comedy writer with a role in 1984's ""The Ice Pirates"""
BRUINSLEGEND,"Orr"
BRUISECOFFEE,"Mishandle beans?"
BRUISESINGER,"Give a vocalist a black-and-blue mark?"
BRUISEWILLIS,"Rough up Knicks legend Reed?"
BRUNCHAVENUE,"Green line stop with great omelettes and mimosas?"
BRUTALFOURTH,"Unbearably hot holiday?"
BRUTUSWILLIS,"Roman thespian?"
BRYANHEXTALL,"Hall of Famer whose son and grandson also played NHL hockey"
BRYANTGUMBEL,"The Broadcaster"
BTWASHINGTON,"Educator author (""Up From Slavery"")"
BUBBASPARXXX,"Rapper with the 2001 hit ""Ugly"""
BUBBLEBRAINS,"Numbskulls"
BUBBLINGOVER,"Elated"
BUCCANEERRAM,"Piratical assault"
BUCKMAVERICK,"Nudist cousin of poker-playing brothers in the Old West?"
BUCKMAVERICK,"Nudist cousin of some well-known gambling brothers?*"
BUCKPRIVATES,"1941 Abbott and Costello film"
BUDANDBROOKS,"Mann nature novel?"
BUDDINGHEADS,"Lettuce in the spring?"
BUDDYHACKETT,"Comedian who got his start in the borscht belt"
BUDDYHACKETT,"Comic noted for his ""Chinese waiter"" routine"
BUDGETBUSTER,"Unplanned expense"
BUDGETCRISIS,"Financial deadlock"
BUDGETCRUNCH,"*Fiscal crisis"
BUDGETCRUNCH,"Reason for belt-tightening"
BUDGIEJUMPER,"One who mugs parakeets?"
BUDWEISERCAN,"Drink container at the local dive, behind bars?"
BUFFALOBILLS,"A team, or certain New York phone statements"
BUFFALOBILLS,"Super Bowl runner-ups, 1991-94"
BUFFALOMAYOR,"GROVER CLEVELAND"
BUFFALOSABRE,"Certain NHL player"
BUFFALOWINGS,"*Snack named for its New York place of origin"
BUFFALOWINGS,"More bar food"
BUFFALOWINGS,"Spicy bar fare"
BUFFALOWINGS,"Sports-bar staples"
BUFFALOWINKS,"Bestial come-ons on the prairie?"
BUFFETTABLES,"All-you-can-eat supporters?"
BUFFYSUMMERS,"Role for Sarah Michelle Gellar"
BUFFYSUMMERS,"Vampire slayer of film and TV"
BUICKENCLAVE,"NICK LEAVE CUB"
BUILDBRIDGES,"Make friendly forays"
BUILDBRIDGES,"Make new contacts"
BUILDONSPECK,"Construct a microscopic house?"
BUILTTOSCALE,"Like most toy models"
BULLETINBARD,"Silver-tongued TV newsman?"
BULLETTRAINS,"High-speed transportation"
BULLETTRAINS,"Some speedy Japanese transports"
BULLETTRAINS,"Some speedy transports"
BULLIGERENCE,"Aggressiveness on Wall Street?"
BULLSESSIONS,"For stock-brokers?"
BULLYSESSION,"Anger management class?"
BULLYSESSION,"Meeting of browbeaters?"
BUMBLEBEETLE,"Stinging weevil?"
BUMMEDAROUND,"Mostly idled"
BUMPBUMPBUMP,"Song recorded by B2K and P. Diddy in 2003"
BUMPIERCROPS,"Potatoes and cucumbers, compared to apples and eggplants?"
BUMPINGHEADS,"Beannoodle"
BUMPKINBATCH,"Collection of yokels?"
BUNGALOWBILL,"Character in a Beatles ""White Album"" tune"
BUNGEEJUMPER,"Modern thrill-seeker"
BUNSENBURNER,"Test tube heater"
BURDENOFFAME,"No privacy, say?"
BUREAUCHIEFS,"Newspaper bigwigs"
BURGERAFRIES,"Kids' lunch choice #3"
BURGERPOKING,"Checking for doneness at the grill?"
BURGLARALARM,"Edwin T. Holmes' invention: 1858"
BURGLARALARM,"One may be set for a vacation"
BURGLARALARM,"Security device"
BURGLARALARM,"Warning signal of a sort"
BURIALMOUNDS,"Hills over graves"
BURNEDALUNCH,"'All in all, I'd say I ___ today'"
BURNEDRUBBER,"...so the chef got a job at the tire factory, but he..."
BURNINGBLUSH,"Hot pink complexion?"
BURNINGBLUSH,"Red-faced condition?"
BURNINGISSUE,"Hot topic"
BURNINTHEUSA,"Homegrown conflagration?"
BURSTSOFFIRE,"War sounds"
BURSTTHROUGH,"Penetrate suddenly"
BURTBACCARAT,"Card game played Reynolds's way?"
BURTBACCARAT,"Risk-taking songwriter?"
BURTREYNOLDS,"""Boogie Nights"" actor with his own museum in Jupiter, FL"
BURTREYNOLDS,"Footballer-turned-actor"
BURYSLIPPERS,"Hide mules in the ground?"
BUSCHSTADIUM,"Cardinals fly out here"
BUSINESSAPSE,"Part of the church where administrative matters are handled?"
BUSINESSCARD,"Sales rep's handout"
BUSINESSCARD,"Sales rep's need"
BUSINESSSUIT,"Case against a firm?"
BUSINESSSUIT,"Executive's attire"
BUSINESSTRIP,"Executive excursion"
BUSINESSTRIP,"Firm offer?"
BUSINESSTRIP,"Roadwork?"
BUSINESSWEEK,"Monday through Friday"
BUSINESSWEEK,"Monday through Friday, or a magazine"
BUSINGTABLES,"Doing restaurant grunt work"
BUSSESSMACKS,"Transports sailboats by jitney"
BUSTERCRABBE,"B2B opportunity for Tarzan fans?"
BUSTERKEATON,"Actor nicknamed the ""Great Stone Face"""
BUSTERKEATON,"Funnyman known as ""The Great Stone Face"""
BUSTERKEATON,"Genius of the silents"
BUSTERSGHOST,"Apparition of comic actor Keaton?"
BUSTERSGHOST,"Comic actor Keaton, haunting a house?"
BUTCHCASSIDY,"Better-known name of Robert LeRoy Parker"
BUTCHCASSIDY,"Classic Paul Newman role"
BUTCHCASSIDY,"Outlaw played by Paul Newman"
BUTCHCASSIDY,"Paul Newman movie role"
BUTCHCASSIDY,"Paul Newman role of 1969"
BUTCHERBLOCK,"Kitchen island material"
BUTCHERPAPER,"Meat wrap"
BUTCHWHACKER,"Assailant of Mr. Cassidy?"
BUTDONERIGHT,"Part 3 of quip"
BUTISITARTIE,"Response to ""That's a good clarinetist""?"
BUTITCANONLY,"Quip, part 3"
BUTSERIOUSLY,"""All kidding aside..."""
BUTSERIOUSLY,"""Dude,"" spoken reproachfully"
BUTTERBEANIE,"Ram's cap?"
BUTTERFIELDE,"1960 drama"
BUTTERFIELDE,"1960 film for which Liz won her first Oscar"
BUTTERFINGER,"Chocolate-coated Nestle bar"
BUTTERFLYBOT,"Automated voting equipment in Miami-Dade County?"
BUTTERFLYNET,"Lepidopterist's device"
BUTTERFLYNUT,"Fastener with wings"
BUTTERFLYTEN,"Top-rated monarch?"
BUTTERKNIVES,"They're not very useful for cutting steak"
BUTTERSCOTCH,"Foreign flavor?"
BUTTHESTRESS,"Part 3 of quip"
BUTTINGGREEN,"Designated area for ram disputes?"
BUTTNOTFORME,"Explanation from one who doesn't care for anal sex?"
BUTTNOTFORME,"Film in which Gable quits smoking?"
BUYERSMARKET,"Healthy real estate condition"
